LGA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
LGA12380,1920,15994,768,25559,3,17,4,176,5,206,21922,114,235,179,521,22972,1799,115,65,235,53,2274,342,98,45,94,8,576,6209,1966,1279,11643,774,21866,4285,53,225,24,150,4738,257,29,25,105,9,422,747,175,124,868,51,1966,1681,241,96,436,53,2512,252,52,6,50,5,359,11692,78,61,37,207,12080,1116,453,273,4480,140,6465,3026,574,251,1072,127,5052,3203,12,18,6,80,3314,18966,3035,1003,1930,969,25907,168,17,3,18,9,215,2431,308,170,565,86,3567,1019,73,79,26,44,1255,412,100,73,41,19,653,709,66,50,120,23,965,642,35,40,107,17,836,905,420,314,2508,81,4229,531,32,17,28,5,605,157,28,14,12,0,214,952,48,39,66,25,1135,1862,9,18,8,61,1957,6280,446,266,195,209,7392,3236,28,43,18,90,3406,107,42,28,100,5,293,35661,1295,749,740,1283,39726,4129,317,182,925,11259,16815,129747,9552,5309,32139,16484,193224,5615,3591,2199,13819
LGA12700,147,3480,74,3898,0,0,0,18,0,18,3,0,0,11,0,14,3,0,0,0,0,9,33,16,10,12,0,70,255,214,132,3010,83,3692,6,0,4,0,0,13,0,3,0,20,0,19,46,21,10,347,18,442,4,0,0,4,0,12,3,0,0,4,8,15,0,0,0,0,0,4,38,29,13,874,12,970,18,13,10,47,4,89,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,3,7,3,0,7,0,11,3,8,0,0,0,9,8,3,7,6,0,19,10,4,4,19,0,44,9,0,0,6,0,15,77,51,27,662,18,840,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,33,0,51,85,22,23,71,5,203,4,6,7,194,300,513,526,369,255,6699,469,8317,12,216,145,3866
LGA12730,112,3489,80,3882,0,0,0,27,0,30,24,0,0,16,0,47,3,0,0,0,0,10,59,18,9,43,3,128,195,174,132,2917,109,3526,0,0,0,0,0,6,6,5,0,14,0,18,35,20,7,249,8,316,9,3,0,14,0,28,0,0,0,0,0,3,25,0,0,0,0,24,46,38,28,857,19,988,74,19,16,112,9,230,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,0,0,3,3,0,0,3,0,10,30,7,3,4,6,52,12,3,6,10,0,36,9,3,3,4,0,20,3,0,0,0,0,3,58,62,44,866,18,1041,0,0,0,0,0,0,12,3,0,5,0,23,0,0,0,5,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,13,0,34,73,19,7,65,4,168,13,5,11,197,403,626,636,346,247,6825,609,8659,13,184,103,3716
LGA12750,838,11864,351,14377,0,13,4,312,15,342,63,14,7,83,4,169,155,10,9,34,8,212,341,83,52,155,10,637,2653,1154,838,10202,372,15216,72,3,26,6,0,109,77,10,12,85,3,201,489,109,77,910,27,1608,113,19,8,87,3,232,73,22,0,16,0,107,25,6,3,10,0,47,420,231,165,3592,98,4501,258,83,26,286,14,663,3,0,0,3,0,8,9,12,3,10,0,35,16,0,5,0,0,22,91,28,7,31,4,165,46,13,14,19,3,104,119,57,38,28,0,246,124,22,12,43,10,208,45,17,0,18,0,79,615,288,225,2629,76,3833,42,7,0,4,3,52,44,11,7,0,0,59,44,4,6,28,0,79,3,5,0,0,0,12,4,7,0,0,0,15,46,0,0,0,0,45,100,38,16,117,3,274,726,187,93,322,30,1364,84,44,20,590,1765,2506,5928,2237,1547,23443,2582,35739,134,1159,852,12425
LGA12850,1299,10880,712,18312,5,21,11,169,6,210,23803,148,251,177,597,24972,3181,256,99,340,86,3955,257,60,27,84,20,454,5598,1314,850,7229,756,15748,2743,39,136,17,73,3010,277,22,9,71,10,390,1014,162,115,504,52,1850,1053,153,89,347,33,1680,355,31,9,34,3,439,1657,19,16,16,55,1762,617,268,174,2411,81,3554,8119,1392,496,2374,298,12677,124,0,6,0,4,143,3898,755,194,404,202,5453,1378,101,35,120,72,1707,2013,305,181,579,101,3180,754,52,57,28,43,931,275,63,37,19,8,403,1096,104,28,112,25,1367,819,57,16,42,10,948,657,261,182,1388,72,2556,3752,177,99,171,120,4314,84,19,9,0,4,120,2736,95,86,84,77,3079,166,22,3,9,4,197,1110,89,52,48,58,1355,29447,181,241,166,1149,31190,60,31,16,64,0,175,46720,1281,812,720,1586,51125,5777,227,192,770,7013,13983,141938,6768,4025,22398,12632,187766,4423,2286,1533,9675
LGA12870,180,4635,126,5202,0,0,0,7,0,9,25,3,0,20,0,48,12,3,0,4,0,17,71,13,17,36,0,143,468,261,211,4033,94,5067,44,3,13,0,0,61,7,0,0,37,0,40,83,32,16,475,8,611,4,3,0,16,0,23,11,3,0,0,0,14,3,0,0,0,0,8,84,64,29,1500,25,1703,57,22,4,123,3,213,0,0,0,0,0,3,5,0,0,3,0,7,0,0,0,0,0,3,6,3,0,3,0,14,9,0,0,3,0,10,36,10,11,0,0,60,30,3,0,11,3,45,3,3,0,3,0,14,129,74,50,1100,21,1372,3,0,0,0,0,3,9,0,4,3,0,13,8,0,0,0,0,9,0,0,3,0,0,7,3,0,0,0,0,4,3,0,0,0,0,3,19,6,3,26,0,48,111,20,18,75,3,233,12,3,9,342,425,803,1074,495,361,9553,667,12156,34,271,202,4755
LGA12900,111,3944,132,4331,0,0,0,55,7,58,17,0,0,16,3,33,0,0,0,0,0,4,19,18,7,28,0,73,158,134,108,3333,110,3851,22,0,5,0,3,37,8,0,0,49,0,59,26,22,14,296,9,364,0,0,0,6,0,10,5,0,0,9,0,13,15,0,0,0,0,15,44,23,17,1110,34,1226,26,20,4,56,4,105,0,0,0,0,0,0,0,0,0,9,0,10,8,0,0,0,0,10,5,0,0,7,0,13,4,3,3,3,0,15,15,4,3,3,0,26,8,0,0,10,0,20,8,3,0,10,0,12,53,45,16,689,16,826,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,3,0,3,3,0,0,0,0,6,0,0,0,0,0,4,3,0,0,0,3,11,8,0,6,13,0,29,56,18,10,57,9,152,6,3,7,296,294,609,434,285,199,7689,558,9169,18,164,132,4339
LGA12930,2134,17795,506,24668,0,11,9,102,3,127,30954,276,439,310,591,32566,1558,162,88,306,27,2144,322,85,57,160,10,638,5172,2311,1542,14435,572,24028,1701,32,135,14,65,1949,249,41,26,159,7,481,641,192,140,1071,44,2087,6423,925,411,2665,208,10629,286,50,14,46,3,392,2507,49,55,24,49,2684,1119,634,386,6075,164,8370,3036,741,326,1519,90,5715,583,9,16,7,12,622,3083,427,195,474,97,4283,3030,259,150,449,92,3972,569,147,68,192,16,987,915,90,43,13,38,1096,510,134,81,45,16,779,392,50,24,83,4,543,480,26,10,39,11,566,1128,594,388,3791,91,5990,458,42,25,25,8,556,250,37,17,6,5,326,721,50,39,60,18,896,162,6,10,0,3,181,202,33,18,22,10,278,810,18,26,3,43,893,151,51,27,186,5,423,12689,915,708,858,320,15493,1404,139,109,735,4500,6888,77054,7536,4953,37944,7176,134655,1633,3097,2274,15385
LGA12950,45,2053,48,2217,0,0,0,30,0,30,10,0,0,10,3,20,0,0,0,0,0,0,24,0,3,10,0,31,69,67,50,1514,43,1752,11,0,0,0,0,11,0,0,3,4,0,7,4,4,5,160,4,175,3,0,0,6,0,10,5,0,0,0,0,4,3,0,0,0,0,6,15,20,12,463,5,515,5,4,6,15,6,37,0,0,0,0,0,0,3,4,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,3,11,3,4,0,0,16,4,0,0,0,0,3,4,3,0,0,0,6,3,0,0,0,0,4,16,17,9,347,5,396,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,6,0,15,0,19,29,0,8,26,0,61,11,3,3,111,211,340,203,135,93,3644,287,4368,4,75,51,2010
LGA13010,125,3505,107,3896,0,3,0,40,5,45,13,0,0,19,0,31,0,0,0,0,0,3,45,12,5,19,3,88,276,174,136,2873,106,3558,16,0,8,0,0,26,11,3,0,21,0,32,40,26,11,367,3,445,6,4,0,4,0,12,6,0,0,0,0,3,7,0,0,0,0,16,50,43,37,948,35,1122,10,12,0,44,3,68,3,0,0,0,0,3,0,0,0,11,0,13,0,0,0,0,0,0,5,0,0,11,0,16,3,3,5,3,0,22,13,10,6,0,0,36,6,0,0,4,0,12,7,0,4,3,0,11,69,48,43,889,23,1070,0,0,0,0,0,0,11,3,0,0,0,14,3,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,25,0,44,82,9,9,64,3,169,10,13,6,193,441,663,624,318,245,6805,665,8655,18,166,138,3455
LGA13310,509,10613,284,12166,0,7,3,57,5,67,104,7,6,56,0,169,30,3,3,6,0,48,141,32,32,77,0,283,1015,652,460,8783,262,11175,74,3,23,0,3,103,27,15,0,52,0,98,161,55,42,622,12,897,76,21,9,71,4,178,33,10,3,12,0,51,60,5,3,3,0,72,213,172,81,2989,65,3516,134,48,24,209,17,431,9,0,5,0,0,13,16,8,0,15,0,45,4,4,0,0,0,12,47,21,9,47,0,124,33,13,8,8,0,70,55,34,34,17,3,146,46,21,4,39,0,114,14,3,5,14,0,37,270,186,120,2051,39,2665,12,3,0,0,0,11,12,3,8,3,0,25,23,4,3,18,0,48,10,0,7,0,0,14,17,0,0,3,0,14,15,3,0,0,0,18,27,27,13,103,4,173,547,106,68,162,27,905,68,28,12,610,1606,2313,2823,1331,901,20239,2180,27480,95,761,601,10969
LGA13340,176,3755,82,4217,0,0,0,14,3,19,10,0,0,8,0,14,10,3,0,6,0,16,68,23,13,41,3,146,297,211,152,3027,72,3763,23,0,11,0,0,28,0,0,0,9,0,12,83,30,31,1019,13,1173,0,0,3,4,0,13,12,0,0,8,0,22,11,0,0,0,0,7,37,60,39,989,30,1156,18,15,5,85,3,130,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,3,0,4,3,0,3,7,0,15,21,8,3,0,0,30,18,9,5,3,0,32,10,0,3,14,0,35,9,0,0,14,0,20,77,43,28,904,19,1066,3,0,0,0,0,3,3,3,3,0,0,12,13,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,3,7,12,0,30,77,29,33,74,9,223,9,5,3,259,398,683,691,396,302,7834,587,9817,33,239,166,4203
LGA13450,312,6441,196,7666,0,4,0,100,0,107,102,3,6,42,0,152,11,0,0,4,0,15,65,28,24,49,0,162,649,396,250,5193,194,6684,154,0,19,0,3,174,13,0,7,37,0,58,78,39,12,505,8,643,13,7,4,15,0,37,3,0,0,3,0,10,713,12,11,3,3,748,86,83,60,1609,41,1873,2843,710,220,2581,103,6455,3,0,0,0,0,7,25,4,3,17,0,48,7,0,0,0,3,11,17,0,7,3,0,30,85,10,6,10,9,118,57,31,10,11,10,123,17,7,4,19,0,45,3,0,0,0,0,7,134,95,67,1276,33,1612,0,0,3,3,0,8,48,9,6,6,0,63,70,11,10,35,6,137,15,0,0,0,0,13,110,3,0,8,0,122,10,0,0,0,0,9,18,11,0,47,0,72,1439,120,36,89,92,1774,266,40,9,336,1386,2042,6614,1481,714,13596,1954,24363,268,568,302,6444
LGA13510,125,4620,169,5113,0,0,0,15,3,17,37,3,0,19,0,53,0,0,0,3,0,4,32,6,3,23,0,69,290,192,127,3915,104,4630,16,0,0,0,0,17,3,3,0,19,0,28,39,23,11,305,11,383,10,5,0,7,0,25,0,0,0,0,3,10,0,0,0,3,0,7,48,34,25,1408,34,1549,21,11,8,69,0,108,3,0,0,0,0,3,6,3,0,14,0,18,0,3,0,0,0,3,3,7,3,7,0,17,3,3,0,0,0,7,7,7,3,6,0,21,11,3,0,9,0,24,3,0,0,6,0,11,59,43,48,794,12,952,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,8,0,13,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,18,10,3,0,30,0,45,91,27,11,74,11,212,13,17,4,296,435,767,637,365,233,9043,716,10999,28,216,149,4805
LGA13550,139,5352,120,5838,0,3,0,47,3,57,41,0,3,28,0,73,0,0,0,0,0,0,31,14,8,48,0,103,209,220,150,4039,123,4745,21,0,4,5,0,36,7,0,0,29,0,38,43,20,17,414,8,500,4,3,3,10,0,26,6,0,0,5,0,9,11,0,3,0,0,14,37,32,38,1230,24,1368,19,6,3,63,0,93,0,0,0,0,0,0,0,0,0,9,0,8,3,0,0,0,0,0,8,0,4,3,0,21,12,8,6,9,0,37,28,5,12,3,0,47,6,3,0,6,0,20,4,0,6,3,0,10,60,59,34,1019,5,1180,0,0,0,0,0,0,12,0,4,0,0,17,3,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,4,22,0,42,79,23,20,90,0,208,4,7,6,364,639,1023,595,398,292,9896,883,12065,30,219,178,5698
LGA13660,90,2177,62,2429,0,0,0,13,0,13,3,0,0,5,0,15,0,0,0,0,0,0,4,3,3,10,0,26,117,65,91,1942,66,2283,6,0,0,0,0,8,0,0,0,13,0,16,17,4,3,191,3,216,0,0,0,9,0,9,0,0,3,3,0,6,6,0,0,0,0,7,23,13,13,466,19,537,3,6,3,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,4,3,0,0,0,12,0,0,0,3,0,3,0,0,0,3,0,3,25,22,12,441,12,520,0,3,0,0,0,3,3,0,0,0,0,4,4,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,18,29,5,7,12,3,53,8,3,3,147,88,248,221,135,159,4222,216,4965,7,67,60,2321
LGA13800,1896,21820,557,27014,0,10,13,178,10,201,331,31,42,112,11,519,180,25,19,43,0,268,622,235,152,330,23,1363,4208,2209,1686,15836,554,24495,211,9,46,8,14,277,100,24,23,124,7,279,593,220,154,1194,45,2205,197,48,8,146,7,403,118,32,11,42,4,207,163,14,27,3,12,210,817,493,296,4619,110,6332,641,246,104,844,34,1869,29,0,3,0,0,34,127,77,15,61,22,305,188,28,20,39,4,275,1154,308,153,948,36,2593,152,33,19,19,15,238,248,105,102,38,10,509,204,50,33,131,6,426,63,19,3,22,0,111,893,460,316,3444,112,5224,48,12,3,24,0,87,112,25,9,3,4,154,95,32,20,50,4,200,34,13,3,0,0,56,22,16,0,9,0,44,34,0,12,3,0,46,148,44,34,157,0,385,1367,400,256,485,68,2582,213,95,48,950,2660,3955,11410,4797,3347,38825,3974,62353,340,2675,1889,21972
LGA13850,33,1206,42,1344,0,0,0,24,0,20,7,3,0,6,0,16,0,0,0,0,0,0,3,3,3,4,0,15,67,52,45,1050,51,1262,6,0,4,0,0,7,0,0,0,8,0,8,13,9,0,73,4,101,3,3,0,4,0,12,0,0,0,0,0,0,8,0,0,0,0,8,10,14,11,296,6,335,40,15,0,42,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,8,7,0,0,0,0,6,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,5,14,11,18,200,8,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,0,20,28,10,0,17,0,58,9,3,0,87,107,201,214,111,74,2353,205,2958,6,65,29,1247
LGA13910,275,7465,195,8342,0,3,0,54,7,58,43,3,3,28,6,76,5,0,0,4,0,10,89,23,11,43,0,160,488,361,268,6339,218,7674,43,3,0,0,0,46,5,0,3,38,3,53,69,33,32,489,10,637,12,3,0,22,0,41,10,3,0,4,0,18,21,3,0,0,0,26,89,90,52,2517,59,2804,39,33,6,83,0,160,5,0,0,0,0,5,64,20,5,27,3,121,15,0,0,0,0,16,26,10,0,14,0,56,30,4,5,0,3,39,31,20,11,16,9,86,21,0,0,8,0,32,10,0,0,3,0,11,121,110,73,1317,33,1656,36,0,6,0,0,37,14,7,7,0,0,27,7,0,0,11,0,20,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,10,11,12,32,4,67,177,56,47,124,8,404,24,8,18,403,777,1236,1309,726,523,14449,1212,18213,51,388,295,7848
LGA14000,4157,30053,720,41506,0,11,3,57,3,71,13201,197,380,291,217,14285,346,64,41,101,15,564,1130,303,180,346,22,1973,11234,4610,3148,23943,695,43626,1653,20,138,15,34,1874,372,80,56,250,11,763,1436,378,265,1884,57,4019,495,143,56,290,18,999,379,78,24,62,3,540,5551,84,58,35,89,5824,2114,997,712,8911,210,12942,2041,589,226,1417,69,4344,2952,14,55,24,65,3110,1265,177,135,392,57,2038,39,9,3,0,9,56,293,89,54,162,10,601,226,62,31,22,8,340,821,257,194,115,17,1397,792,102,45,143,16,1090,638,36,48,89,16,829,2327,1141,711,7205,166,11543,177,27,9,24,3,231,1148,94,66,21,3,1328,550,41,32,67,11,707,1065,42,36,9,20,1178,129,17,4,4,7,161,444,5,30,3,14,492,397,93,68,366,10,934,11168,1066,880,1114,235,14462,676,108,96,769,3472,5118,58475,9913,7168,55940,5742,137237,1229,5479,4171,26157
LGA14100,426,2873,53,4067,0,0,0,9,0,14,746,52,41,45,16,890,60,0,10,23,0,102,83,32,7,28,0,159,987,479,320,2373,83,4249,65,0,5,3,7,73,41,16,0,27,0,86,124,42,27,250,7,448,239,61,24,134,8,461,65,15,10,13,5,102,143,3,7,6,5,159,278,155,118,1353,32,1930,420,124,53,296,13,910,79,0,10,8,6,103,102,30,22,49,3,202,23,0,0,5,4,31,28,15,7,16,0,69,20,0,0,3,0,24,82,33,27,3,6,153,82,11,6,16,5,119,59,3,7,11,0,76,245,132,62,698,12,1140,35,0,4,8,0,45,76,18,10,3,0,107,35,9,7,11,0,57,16,5,3,0,0,31,32,6,0,0,0,40,53,0,0,0,0,56,37,7,6,45,0,109,792,112,115,137,25,1171,97,9,13,71,423,609,4550,1215,816,5993,651,13216,89,635,453,2695
LGA14170,4614,27206,852,40868,5,34,8,400,25,475,11166,296,396,490,238,12588,806,107,54,160,16,1148,836,349,190,351,21,1753,13349,5373,3524,22967,840,46051,2097,33,199,21,48,2401,797,107,97,365,20,1381,1698,554,344,2490,70,5153,5381,552,244,1155,157,7488,541,135,63,91,13,836,2936,124,92,26,63,3244,4264,1754,1198,13268,348,20823,6436,1297,517,2299,253,10803,899,11,45,23,17,994,2203,289,152,367,108,3117,554,45,15,54,26,688,645,183,98,244,23,1192,544,72,39,43,22,717,1352,308,274,70,28,2041,1039,189,99,237,19,1588,486,83,66,130,15,773,3365,1352,949,7901,192,13757,568,53,41,44,12,720,462,76,67,21,9,641,1221,85,80,133,59,1577,336,35,20,13,11,419,652,57,24,24,9,777,3104,36,51,14,64,3271,516,152,97,509,13,1292,17059,1915,1414,1696,466,22557,1246,144,106,876,10353,12726,76495,13442,8944,57456,13574,169917,1579,7269,5217,27379
LGA14200,217,6866,216,7661,0,0,4,90,4,98,33,13,0,62,4,108,5,0,0,0,0,5,58,17,13,49,4,139,402,320,233,5469,179,6591,56,0,3,0,3,65,14,4,3,39,0,61,84,39,28,650,16,818,4,7,3,12,0,24,7,0,0,0,0,14,3,0,0,3,0,9,62,55,36,1526,41,1716,43,21,5,122,9,203,10,0,0,0,0,11,11,0,0,8,0,26,0,0,0,0,0,0,8,6,0,6,0,24,9,9,3,11,0,29,25,9,7,10,0,45,12,7,3,14,3,42,0,0,0,0,0,5,103,98,50,1265,26,1545,0,0,0,0,0,0,22,3,0,0,0,26,6,3,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,19,9,5,29,0,55,315,37,34,94,21,497,24,23,13,389,536,976,1166,636,424,12894,959,16077,34,326,256,7135
LGA14300,81,2204,59,2447,0,0,0,4,0,8,8,0,0,8,0,18,0,0,0,0,0,4,18,6,4,17,3,48,116,107,77,1683,53,2030,5,0,0,0,0,3,4,0,0,14,0,16,22,16,10,212,10,271,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,17,14,590,9,660,5,3,5,29,0,41,7,0,0,0,0,7,0,3,0,0,0,3,0,0,0,0,0,0,5,0,3,0,0,8,14,0,3,0,0,17,15,5,3,3,0,26,11,0,0,5,0,18,0,0,0,5,0,6,28,23,23,364,10,446,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,0,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,18,57,14,8,39,0,113,6,8,4,122,979,1119,304,180,150,4156,1094,5879,9,105,84,2285
LGA14350,490,11229,397,12891,0,9,0,617,23,644,58,6,10,42,0,117,5,3,5,3,0,15,138,58,17,73,9,297,1076,676,456,9087,316,11605,89,3,23,0,0,112,21,9,6,91,4,134,176,54,41,654,15,934,29,13,6,51,0,97,18,10,0,10,0,33,36,7,7,9,3,57,160,140,73,2604,67,3046,52,59,11,206,4,331,3,0,0,0,0,7,12,9,0,23,0,34,4,0,0,3,0,4,61,8,10,56,3,139,21,20,12,16,3,72,68,36,21,22,6,147,53,15,5,19,0,88,15,7,3,10,0,34,230,153,119,1651,48,2200,3,0,0,0,0,3,14,0,3,7,0,29,9,4,0,25,3,52,5,0,0,0,0,4,0,0,0,0,0,3,4,8,0,0,0,11,34,21,11,57,0,121,326,122,66,207,22,742,37,30,30,709,1722,2523,2339,1355,866,21109,2468,28134,65,727,504,11514
