CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED133,16411,13999,6600,517,37530,12027,1724,51279,534,178,322,20,1057,1692,92,2842,231,136,209,20,584,594,79,1259,758,312,531,39,1643,2283,169,4098,322,139,311,31,800,1504,125,2433,32,22,24,3,79,105,16,198,0,0,0,0,3,8,0,10,0,0,0,0,0,10,0,11,357,161,332,34,878,1628,145,2654,161,24,33,3,225,458,10,701,126,24,23,8,175,271,25,475,32,22,23,0,74,93,3,174,94,63,27,7,190,77,10,281,424,135,99,13,670,904,53,1626,115,69,38,3,220,151,7,381,18060,14670,7605,606,40941,16999,2097,60035
CED134,14292,13927,6701,620,35527,12792,1264,49585,320,194,180,25,720,965,75,1752,36,14,17,3,65,77,10,157,361,207,191,26,787,1036,86,1910,438,146,202,29,823,1941,102,2863,12,5,6,0,25,37,0,62,8,0,4,0,8,53,0,64,4,0,0,0,4,3,0,11,456,150,215,36,858,2039,104,3002,61,13,5,0,81,160,7,247,12,10,6,0,17,39,0,60,35,21,7,0,66,106,9,180,55,55,23,0,133,70,9,212,157,98,43,0,299,379,24,706,140,108,51,10,298,192,11,500,15406,14489,7195,686,37775,16438,1484,55700
CED135,5172,11899,3108,462,20637,3778,851,25260,400,599,217,32,1248,958,106,2304,1409,3381,936,113,5834,1362,355,7552,1806,3975,1157,146,7084,2321,454,9854,1124,1794,439,111,3464,1610,291,5364,2159,3345,964,198,6660,2512,629,9806,2621,3435,699,208,6960,2185,807,9956,17,9,4,0,30,19,0,53,5915,8586,2100,517,17117,6323,1731,25174,3,0,0,0,4,0,0,3,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,40,120,23,6,185,53,31,270,46,122,20,6,195,57,31,283,54,95,18,5,170,134,25,332,12994,24675,6403,1125,45207,12615,3089,60905
CED136,13865,16352,6324,495,37045,9056,1159,47257,997,321,603,41,1964,2181,120,4268,583,337,343,14,1274,828,93,2195,1582,661,946,53,3242,3006,215,6466,129,43,109,18,296,736,30,1067,58,11,13,0,83,112,6,201,112,16,27,3,163,177,19,357,0,0,7,0,8,10,0,18,303,74,153,21,550,1033,51,1640,42,9,12,0,62,92,6,162,79,8,11,0,102,165,9,278,7,7,4,0,21,6,0,24,26,16,16,0,67,28,4,99,157,41,51,3,251,296,20,566,121,41,29,3,193,318,12,519,16022,17173,7511,580,41284,13715,1455,56447
CED137,4805,11096,2261,365,18525,3060,741,22323,373,598,184,26,1177,465,82,1726,943,1651,480,55,3126,607,184,3919,1311,2248,665,81,4302,1076,266,5646,1407,1164,502,103,3178,1967,441,5585,2104,1976,700,170,4955,2008,819,7777,6478,4488,1446,455,12871,4512,2436,19818,14,12,5,0,33,15,5,51,10008,7634,2658,731,21033,8502,3700,33230,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,145,101,34,11,296,115,66,482,146,107,34,11,299,115,66,488,79,77,31,10,195,121,52,370,16348,21160,5646,1198,44361,12874,4824,62053
CED138,12386,12371,4776,336,29882,8058,1755,39695,1618,696,832,70,3220,2843,295,6351,1016,657,618,27,2312,1494,233,4041,2631,1355,1447,96,5533,4335,525,10394,572,228,381,29,1208,1720,181,3114,374,130,256,20,776,727,105,1607,323,47,60,6,439,346,28,806,7,5,3,0,18,19,3,33,1279,418,699,57,2444,2807,312,5560,220,37,35,5,295,641,19,952,250,33,57,3,348,523,28,900,9,8,9,0,23,38,3,66,29,19,14,3,69,46,8,123,510,95,115,15,726,1249,62,2036,156,73,39,3,266,233,29,528,16962,14312,7075,502,38850,16680,2688,58217
CED139,15414,14946,6051,541,36949,12364,1395,50709,353,120,118,13,605,1061,72,1734,42,18,11,7,78,127,30,232,401,136,135,16,686,1188,98,1973,463,230,234,36,965,2210,152,3324,10,0,4,0,21,81,7,106,10,0,0,0,10,20,0,33,3,3,0,0,9,6,0,12,482,240,242,39,997,2315,158,3476,33,8,3,0,43,62,0,103,16,8,4,0,27,29,8,59,7,3,6,0,17,12,0,37,77,76,36,0,194,91,19,295,135,90,44,0,277,196,28,496,96,88,29,3,212,124,13,355,16531,15494,6491,602,39118,16189,1696,57001
CED140,11094,14590,4872,368,30929,8137,1128,40193,1219,340,520,55,2127,2406,111,4647,746,430,460,20,1658,1236,127,3021,1964,772,973,81,3789,3648,234,7672,795,324,372,39,1529,1892,165,3582,255,112,113,15,492,446,69,1005,267,123,103,11,506,370,59,937,4,0,8,0,13,24,0,35,1322,563,596,59,2535,2734,294,5559,12,6,10,0,22,44,3,73,72,37,50,7,159,244,25,425,0,0,0,0,0,3,0,3,16,12,14,3,42,27,3,68,99,51,69,10,225,324,29,575,55,29,24,3,115,148,7,275,14533,15998,6545,516,37591,14986,1695,54272
CED141,13803,15841,5936,424,35999,9482,1093,46586,820,229,414,32,1496,1892,98,3496,397,215,311,16,932,686,87,1701,1217,443,729,42,2428,2582,186,5192,275,87,220,17,589,1073,66,1725,28,6,6,3,42,115,3,167,145,27,23,3,195,186,20,407,7,0,5,0,16,11,0,28,449,124,259,17,846,1388,87,2319,26,3,3,0,34,52,4,87,29,3,11,3,42,167,3,218,8,8,0,0,14,6,0,21,15,21,11,0,46,31,7,85,74,32,33,4,138,254,17,410,27,20,9,0,59,42,7,107,15573,16451,6957,486,39478,13747,1392,54618
CED142,455,591,157,30,1230,400,153,1786,1174,754,295,63,2289,1175,589,4049,3500,2538,1061,251,7353,3150,2609,13111,4672,3289,1363,314,9638,4326,3190,17155,589,137,98,30,862,1212,318,2388,2300,648,454,146,3542,3737,1143,8421,16007,4350,1764,1105,23232,19117,8034,50384,14,3,0,0,10,6,11,29,18912,5133,2319,1284,27644,24073,9502,61223,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,7,0,0,0,7,35,0,41,69,36,14,3,123,146,98,375,79,36,9,3,135,182,102,419,97,61,16,9,185,239,91,516,24216,9106,3863,1650,38838,29228,13036,81100
CED143,4948,12508,1889,189,19541,2630,396,22563,430,702,184,7,1318,459,64,1843,1009,1148,290,18,2462,746,132,3333,1438,1852,471,26,3786,1205,193,5176,1787,1281,495,57,3629,2229,399,6256,3729,2015,909,155,6803,4368,957,12123,2644,994,415,75,4132,3241,522,7897,28,28,14,0,68,36,7,105,8194,4318,1831,289,14634,9872,1877,26380,0,0,0,0,0,0,0,3,0,3,0,0,7,6,0,11,0,0,0,0,3,25,0,32,48,32,26,0,112,46,20,176,56,34,23,3,117,80,20,220,27,49,19,0,99,77,15,188,14657,18768,4235,509,38170,13859,2496,54524
CED144,4780,12775,3509,479,21544,3624,712,25889,472,857,347,47,1726,705,101,2533,1143,3057,972,94,5267,1041,183,6493,1619,3914,1319,137,6997,1748,287,9029,2224,3339,1250,234,7045,2748,793,10590,1269,1950,737,114,4070,1391,390,5850,511,594,213,57,1376,419,187,1982,15,19,0,0,32,10,10,57,4016,5907,2197,402,12520,4576,1381,18477,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,61,105,50,11,224,69,34,331,66,104,54,11,230,71,34,339,55,81,24,10,167,196,25,388,10531,22778,7105,1036,41455,10222,2446,54119
CED145,2233,5156,767,106,8257,1225,263,9747,778,1346,339,43,2506,754,250,3512,2005,3078,709,95,5889,1481,665,8031,2785,4424,1051,140,8398,2233,909,11540,1599,1196,486,80,3364,1978,768,6107,4210,1985,825,187,7204,4922,1856,13975,4189,1395,638,155,6377,6662,1375,14413,32,26,7,0,59,27,16,96,10021,4600,1960,418,16997,13586,4012,34594,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,156,100,54,7,317,238,61,615,162,100,54,7,319,240,61,618,76,67,12,4,160,139,22,319,15279,14341,3838,674,34131,17424,5259,56820
CED146,6728,22013,6214,517,35475,4251,536,40259,327,554,310,36,1220,652,54,1923,632,1611,873,57,3168,916,93,4176,965,2162,1180,90,4395,1566,140,6104,58,50,83,9,199,405,16,616,34,30,59,6,128,353,17,499,0,0,0,0,6,3,0,12,5,6,11,0,26,17,0,44,100,89,152,20,360,776,38,1168,3,0,0,0,4,30,0,27,0,0,0,0,3,0,0,0,4,6,0,0,11,10,0,15,7,8,4,0,16,11,0,31,10,15,4,0,31,44,4,81,119,50,13,3,185,107,0,299,7921,24334,7563,623,40439,6753,721,47915
CED147,13261,16828,6087,415,36595,8373,840,45809,827,291,436,34,1592,1786,91,3465,546,382,375,23,1337,854,84,2277,1371,677,817,59,2921,2645,176,5745,273,136,244,15,671,1067,60,1794,4,3,6,0,15,19,0,38,0,0,0,0,0,3,0,3,0,8,3,0,10,15,0,26,275,145,253,15,698,1105,62,1857,14,3,7,0,27,112,6,146,72,12,18,3,107,167,4,282,3,0,0,0,3,0,0,3,25,24,17,0,63,28,5,100,119,36,46,3,202,311,14,532,89,39,26,3,153,119,13,285,15121,17727,7229,498,40573,12545,1107,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
