SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL10480,638,712,1348,284,174,465,78,192,272,25,30,54,13,18,32,397,419,819,203,262,458,2.8,4.5,3.7,62.4,59,60.6,60.7,56.4,58.4,13,15,30,3,13,20,56,87,147,51,87,137,213,110,323,3,12,21,13,21,34,227,143,379,535,608,1144,191,195,389,270,286,557,427,471,892
SAL10481,10,4,20,6,0,8,0,0,0,0,0,0,0,0,0,6,4,12,0,0,0,0,0,0,66.7,83.3,72.2,66.7,83.3,72.2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,12,9,13,6,0,3,0,0,5,5,6,13
SAL10482,35,38,75,24,12,41,0,13,14,0,0,3,0,0,0,24,27,54,4,8,10,0,0,0,77.8,69.2,73.3,77.8,69.2,73.3,0,0,0,0,0,0,5,12,21,6,8,10,4,3,8,0,0,4,0,0,0,5,4,10,35,39,75,5,8,11,28,27,51,15,12,25
SAL10483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10484,43,39,81,26,11,35,10,17,22,3,0,4,0,0,0,38,28,62,4,6,14,2.8,0,1.6,78.3,72.2,75.6,76.1,72.2,74.4,0,0,0,0,0,0,9,12,18,5,0,5,10,3,17,0,0,0,0,0,0,10,5,16,53,45,101,5,0,9,33,29,66,19,14,32
SAL10485,162,178,344,50,30,78,30,55,94,8,4,13,3,3,11,97,97,190,55,66,125,6.3,5.2,5.8,58.3,53.6,55.8,54.6,50.8,52.6,4,12,22,8,7,11,20,45,70,12,22,32,45,15,67,0,4,8,3,7,12,48,25,78,170,165,332,28,34,59,89,78,160,96,108,201
SAL10486,29,25,58,21,10,26,3,11,14,0,0,0,0,0,0,21,18,41,3,4,10,0,0,0,82.1,77.8,80,82.1,77.8,80,0,0,0,0,0,0,4,6,10,0,4,6,11,0,9,0,0,0,0,0,0,11,0,9,41,27,68,0,0,4,33,23,51,10,9,22
SAL10487,93,78,172,36,21,54,3,10,15,0,0,0,0,4,3,42,30,70,17,13,34,2.4,9.7,5.6,44.1,39.7,42.1,43,35.9,39.8,0,0,0,0,0,0,0,3,4,0,6,13,10,8,17,0,0,0,0,0,0,6,12,21,54,49,103,15,13,28,50,36,84,17,17,38
SAL10488,8,7,14,6,0,8,0,0,0,0,0,0,0,0,0,6,3,10,3,4,3,0,0,0,75,42.9,60,75,42.9,60,0,0,0,0,0,0,3,0,3,0,0,0,3,3,10,0,0,0,0,0,0,3,4,4,9,5,14,0,0,0,6,5,12,0,0,0
SAL10489,17,12,35,15,11,25,0,4,4,0,0,0,0,0,0,17,12,32,0,3,3,0,0,0,100,80,90.6,100,80,90.6,0,0,0,0,0,0,5,3,9,0,0,0,4,0,0,3,0,3,0,0,0,4,3,5,24,20,44,0,0,0,17,16,30,3,5,7
SAL10490,26,16,41,16,3,15,0,8,10,0,0,0,0,0,0,19,9,26,0,0,4,0,0,0,77.3,73.3,75.7,77.3,73.3,75.7,0,0,0,0,0,0,4,3,9,3,4,3,6,0,6,0,0,0,0,0,0,6,0,6,19,13,36,4,0,7,17,5,22,8,9,18
SAL10491,12,5,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,0,7,0,0,0,40,33.3,37.5,40,33.3,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,15,0,0,0,7,0,14,0,0,0
SAL10492,66,57,121,29,9,40,12,19,27,3,5,4,0,0,4,45,31,73,16,23,38,2.4,3.1,2.7,65.6,53.3,59.7,64.1,51.7,58.1,4,0,4,0,3,9,4,8,11,7,7,11,21,10,29,0,0,0,0,6,4,23,15,35,67,59,122,9,0,10,35,31,68,32,26,57
SAL10493,621,778,1391,184,119,305,58,133,198,25,20,45,17,16,29,281,293,574,226,327,556,5.3,5.5,5.4,45.6,37.7,41.2,43.2,35.7,39,10,14,28,5,6,16,39,65,109,28,59,87,154,109,264,4,12,20,8,23,34,166,148,313,544,640,1185,112,123,235,345,380,728,272,330,601
SAL10494,183,173,363,84,42,123,25,47,73,3,6,14,11,3,14,122,98,224,50,60,111,7.4,4,5.9,65.1,56.5,60.9,60.2,54.2,57.3,7,12,15,4,0,4,15,25,34,14,12,23,61,30,90,5,3,6,0,4,4,63,36,98,186,177,368,19,17,38,134,131,265,63,56,120
SAL10495,10,12,20,4,4,9,0,5,3,0,0,0,0,0,0,7,7,17,0,0,0,0,0,0,80,60,70,80,60,70,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,3,3,8,9,6,16,0,0,4,8,8,18,5,3,4
SAL10496,3,7,14,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,42.9,12.5,26.7,42.9,12.5,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,4,5,10,17,0,0,0,4,0,8,0,3,11
SAL10497,36,25,61,14,11,24,5,9,17,0,0,0,0,0,0,28,16,41,8,6,8,8.3,5.9,7.3,72.7,63,68.3,66.7,59.3,63.3,3,0,3,0,5,5,3,0,11,5,0,3,7,6,4,0,0,0,0,0,4,3,4,10,28,21,48,9,7,12,17,17,33,16,6,26
SAL10498,14,14,20,3,3,8,0,0,0,0,0,0,0,0,0,4,3,10,4,3,9,0,0,0,50,45.5,47.6,50,45.5,47.6,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,0,0,0,0,0,0,3,3,7,9,9,21,0,0,0,6,7,17,7,4,7
SAL10499,602,679,1284,350,272,621,103,232,339,13,33,53,20,6,31,487,549,1035,97,119,216,3.9,1.8,2.8,80.5,80.7,80.6,77.3,79.3,78.3,37,40,76,16,31,49,116,189,303,58,74,131,148,107,255,7,7,16,7,13,18,164,125,286,593,613,1208,195,256,446,222,216,430,482,576,1053
SAL10500,18,11,30,12,6,19,0,5,5,0,0,0,0,0,0,12,10,26,7,0,8,0,0,0,63.2,76.9,68.8,63.2,76.9,68.8,0,0,0,0,0,0,5,4,3,0,0,0,3,0,9,0,0,0,0,0,0,3,0,7,24,13,37,0,0,5,17,6,26,9,8,14
SAL10501,806,753,1553,268,152,421,83,158,244,27,28,55,16,7,22,396,348,738,272,304,582,3.8,1.7,2.8,49.3,46.1,47.7,47.4,45.3,46.4,16,19,35,5,13,19,45,96,140,45,65,108,181,105,280,13,6,21,14,17,29,211,123,335,730,677,1404,82,80,165,520,494,1012,252,226,474
SAL10502,74,81,157,17,16,32,13,19,35,6,9,12,3,4,4,43,40,83,36,33,64,4.9,4.7,4.8,53.9,52.4,53.2,51.3,50,50.6,3,3,6,0,6,6,6,15,20,9,15,19,27,10,31,0,0,6,0,8,7,27,20,49,74,78,151,8,13,14,52,63,113,27,25,50
SAL10503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10504,38,36,70,18,10,26,10,9,11,0,0,0,0,0,0,23,19,46,9,14,19,4,5,4.4,67.6,57.1,62.5,64.9,54.3,59.7,5,0,5,0,0,3,6,8,9,3,4,9,9,6,7,0,0,4,4,0,0,5,3,11,36,32,69,7,0,9,30,23,55,10,13,26
SAL10505,45,38,84,12,11,19,6,14,20,4,0,6,4,5,6,24,21,44,14,11,24,9.1,12,10.6,50,65.8,57.3,45.5,57.9,51.2,0,3,6,0,5,5,0,0,3,5,0,9,14,4,21,0,0,0,0,0,0,12,8,22,49,41,84,3,3,9,35,31,64,8,17,22
SAL10506,11,14,22,7,3,7,0,3,4,0,0,3,0,0,0,4,3,10,0,0,5,0,0,0,46.2,45.5,45.8,46.2,45.5,45.8,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,8,3,10,0,0,5
SAL10507,51,39,95,28,14,48,5,12,15,0,0,4,0,0,0,39,27,68,7,6,19,5.3,0,3,71.7,70.7,71.3,67.9,70.7,69.1,0,0,0,0,0,0,3,10,12,3,3,9,13,5,24,0,0,0,0,0,5,18,11,23,53,36,95,10,4,13,41,31,72,20,11,34
SAL10508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10509,32,37,74,22,6,33,5,16,19,0,0,6,0,0,0,27,20,54,7,15,20,3.6,0,1.9,77.8,64.9,71.2,75,64.9,69.9,0,0,0,0,0,0,5,6,17,0,8,10,9,4,20,0,0,0,0,0,3,16,11,18,42,53,93,0,0,0,23,29,57,11,10,24
SAL10510,78,81,160,45,17,60,4,21,29,5,4,4,0,0,0,53,40,96,22,30,56,0,7,3.1,67.1,53.1,60,67.1,49.4,58.1,0,0,0,0,4,4,4,17,21,0,7,9,16,12,34,0,0,0,0,0,0,18,12,35,87,89,176,0,3,5,76,70,148,10,14,29
SAL10511,197,190,383,107,54,158,31,64,100,7,7,15,0,5,5,146,130,275,35,49,90,0,1.5,0.7,74.9,70.1,72.5,74.9,69,72,15,12,26,4,9,11,36,46,86,15,20,34,50,17,66,6,6,6,3,7,9,52,25,82,225,215,434,8,8,16,161,147,309,58,68,123
SAL10512,46,39,83,18,20,38,10,7,16,3,0,5,0,0,0,32,23,55,9,11,23,0,4.3,1.8,71.7,60.5,66.7,71.7,57.9,65.5,0,0,0,0,0,4,4,0,6,4,3,4,10,3,22,0,0,0,0,0,3,17,7,22,41,35,72,7,0,8,26,18,45,24,18,35
SAL10513,6252,6507,12762,1499,1022,2523,565,843,1408,575,359,933,229,150,382,2862,2381,5248,3064,3805,6866,8,6.3,7.2,45.8,36.6,41.1,42.1,34.3,38.1,123,164,286,30,84,113,652,769,1420,454,580,1039,997,499,1498,45,92,139,112,149,262,1161,741,1901,6506,6691,13196,687,681,1369,4811,4913,9733,2022,2134,4159
SAL10514,58,55,115,16,8,28,14,8,20,0,3,3,0,0,0,32,25,51,16,24,41,3.2,0,1.9,51.7,45.1,48.6,50,45.1,47.7,0,0,0,0,0,0,7,9,10,3,9,13,14,10,26,0,0,3,3,6,3,16,13,30,58,52,106,3,4,6,45,38,78,11,17,29
SAL10515,5118,5362,10479,2471,1977,4444,699,1110,1808,328,410,737,118,116,232,3617,3609,7228,1189,1433,2625,3.2,3.2,3.2,70.7,67.4,69,68.4,65.2,66.7,358,435,792,73,135,208,860,1291,2157,472,657,1128,1114,458,1574,37,51,85,97,119,211,1248,626,1874,4958,4990,9950,1015,1126,2134,2895,2946,5841,2716,2815,5531
SAL10516,47,49,89,23,14,42,4,16,19,4,0,3,0,0,0,31,27,60,8,5,12,0,0,0,68.1,66.7,67.4,68.1,66.7,67.4,0,3,3,0,0,0,0,0,6,8,7,14,21,5,25,0,0,0,0,4,3,19,11,31,51,50,102,3,6,8,42,40,82,14,15,22
SAL10517,17,14,33,5,4,4,4,3,6,0,0,0,0,0,0,4,5,14,5,12,21,0,0,0,40,38.9,39.4,40,38.9,39.4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,4,11,12,21,31,3,5,3,13,18,31,3,3,7
SAL10518,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,0,25,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0
SAL10519,19,16,33,6,5,15,0,4,7,0,0,0,0,0,0,11,10,23,0,0,10,0,0,0,70.6,52.9,61.8,70.6,52.9,61.8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,4,5,15,11,34,4,0,3,11,13,18,4,0,5
SAL10520,626,684,1314,269,227,494,49,97,144,28,22,54,12,12,29,361,357,717,168,217,384,3.6,3.4,3.5,57.2,52.2,54.6,55.2,50.4,52.7,11,18,34,7,8,17,40,91,134,36,64,102,102,58,165,8,11,13,7,5,13,118,74,197,580,580,1156,93,118,213,404,434,834,206,219,429
SAL10521,1109,1279,2381,654,453,1115,132,358,488,26,48,72,30,13,39,846,870,1715,223,370,586,3.2,1.7,2.5,76.3,68,71.9,73.8,66.9,70.1,45,64,111,29,49,71,153,263,412,118,139,262,298,180,484,10,31,38,13,33,41,321,243,565,1152,1328,2476,234,263,496,692,795,1484,619,689,1308
SAL10522,54,45,103,22,10,33,10,11,29,0,0,3,0,0,0,36,31,64,16,10,22,0,3.4,1.5,66.7,63,65,66.7,60.9,64,0,0,0,0,0,0,4,6,8,0,9,5,21,5,28,0,8,8,0,3,3,24,13,31,51,52,103,0,0,6,43,39,82,13,13,21
SAL10523,21,25,39,12,7,23,0,0,7,0,0,0,0,0,0,14,12,26,0,10,11,0,0,0,80,59.1,69,80,59.1,69,0,0,0,0,0,0,0,3,6,0,4,6,11,4,11,0,0,0,0,0,0,11,3,15,20,32,53,7,3,8,6,13,26,10,21,31
SAL10524,644,646,1290,248,179,428,90,140,231,59,52,118,23,22,47,427,397,824,193,227,417,5.6,5.6,5.6,66.7,60.8,63.7,62.9,57.4,60.2,22,31,54,6,13,14,83,122,206,71,64,135,136,64,194,3,11,14,16,16,25,145,87,234,707,688,1395,71,70,140,529,512,1038,202,199,401
SAL10525,37,51,89,24,17,38,6,14,18,0,3,7,0,0,0,27,31,57,12,14,29,0,0,0,66.7,67.3,67,66.7,67.3,67,0,3,5,0,0,0,8,9,15,3,4,10,15,7,22,0,0,0,0,0,0,15,14,20,39,62,101,4,0,3,22,48,69,18,14,30
SAL10526,628,630,1257,300,203,499,95,165,262,53,52,106,10,4,12,452,424,885,151,181,331,1.8,1.2,1.5,72.5,67.5,70,71.2,66.7,68.9,31,41,74,8,19,27,69,107,175,50,85,136,216,103,319,8,17,20,7,11,22,227,133,361,697,672,1366,81,86,167,481,481,956,243,250,492
SAL10527,779,840,1620,209,109,318,54,148,201,41,32,68,45,28,71,344,311,656,349,440,789,12.8,8.7,10.9,44,36.9,40.4,38.4,33.7,36,5,8,17,0,12,15,30,46,72,33,58,89,181,108,296,8,16,26,11,11,23,208,138,341,773,778,1551,87,111,192,538,525,1067,261,313,580
SAL10528,5,4,17,3,0,3,0,0,0,0,0,0,0,0,0,3,4,6,0,3,4,0,0,0,42.9,50,46.2,42.9,50,46.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,7,11,5,18,0,0,0,8,4,16,3,0,6
SAL10529,65,51,116,17,6,30,9,3,13,3,0,3,0,0,3,31,21,53,23,21,50,10,10,10,47.6,38.5,43.5,42.9,34.6,39.1,0,0,0,0,0,0,5,14,20,10,3,10,31,12,37,0,0,0,0,3,3,27,13,43,52,41,87,19,13,36,39,30,69,31,23,53
SAL10530,18,15,34,3,0,6,0,7,8,0,0,0,0,0,0,9,13,20,7,4,11,0,7.7,4.5,52.9,72.2,62.9,52.9,66.7,60,0,0,3,0,0,0,0,0,0,0,9,4,9,0,12,0,0,0,0,0,0,8,5,14,16,18,37,0,0,0,12,12,21,12,7,16
SAL10531,4,4,12,4,0,8,0,0,0,0,0,3,0,0,0,4,9,9,0,0,0,0,0,0,100,83.3,92.3,100,83.3,92.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,9,9,14,4,0,3,4,9,13,6,0,3
SAL10532,47,41,86,34,13,48,3,13,15,0,0,8,0,0,0,38,34,69,12,3,13,0,0,0,77.6,82.5,79.8,77.6,82.5,79.8,0,0,3,0,3,3,10,13,23,11,0,12,10,8,17,0,0,0,0,0,7,15,3,19,58,45,103,0,0,3,27,22,51,34,25,55
SAL10533,264,250,510,128,74,198,39,55,93,10,15,21,0,7,6,178,140,320,74,92,166,2.3,2.1,2.2,66.7,57.4,62.2,65.2,56.2,60.8,7,12,13,7,8,10,32,49,80,22,23,46,62,27,87,0,4,4,6,4,11,65,34,101,278,250,524,21,21,47,203,191,392,85,70,158
SAL10534,4191,5045,9233,1416,877,2296,660,1124,1787,128,155,281,58,70,126,2263,2225,4488,1745,2582,4324,2.7,3,2.8,54,44.1,48.6,52.5,42.8,47.2,403,356,760,112,190,300,806,997,1804,457,709,1162,807,402,1211,33,71,101,83,171,246,918,642,1555,3888,4593,8476,797,897,1689,2529,3023,5554,2017,2289,4306
SAL10535,453,484,938,104,61,164,70,104,174,13,23,32,28,10,39,209,196,407,190,224,413,12.5,5.5,9.1,45.7,41.1,43.3,40,38.8,39.4,6,6,13,7,12,14,24,39,56,19,46,66,121,75,202,8,13,18,5,11,18,134,102,231,422,438,868,54,90,142,305,311,618,158,183,340
SAL10536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10537,2252,2348,4599,1337,956,2295,305,514,822,139,215,352,69,53,129,1858,1741,3595,343,544,886,3.9,3.2,3.5,82.4,74.2,78.2,79.2,71.8,75.4,281,321,598,51,60,112,563,760,1328,236,276,515,424,206,630,9,22,29,20,49,79,455,279,734,1798,1843,3641,1230,1280,2514,178,170,350,2552,2636,5187
SAL10538,110,102,214,52,34,83,14,12,24,0,5,5,0,4,0,65,52,124,35,40,70,3,3.7,3.3,59.8,54,57.1,58,52,55.2,0,3,3,0,4,4,3,3,7,6,17,21,34,16,49,0,4,4,4,3,3,39,19,61,106,100,203,16,16,32,75,76,153,32,37,68
SAL10539,30,33,65,5,3,14,7,8,8,4,0,3,5,0,4,19,15,31,12,19,31,17.6,15.4,16.7,56.7,36.1,45.5,46.7,30.6,37.9,0,0,0,0,0,0,5,3,5,0,5,5,7,3,15,0,3,3,0,0,0,7,5,16,25,17,46,11,12,23,16,12,28,16,19,32
SAL10540,3522,3753,7274,1172,830,2007,414,658,1070,366,277,649,128,121,247,2082,1893,3968,1253,1651,2903,6.1,6.5,6.3,59.1,50.4,54.6,55.5,47.1,51.2,124,137,268,32,64,94,277,426,707,255,397,652,866,519,1383,40,70,111,50,138,188,958,726,1681,3759,3893,7649,542,563,1111,2450,2492,4948,1540,1647,3189
SAL10541,25,34,54,18,11,27,0,9,6,0,0,4,0,0,0,20,20,35,4,10,12,0,5.3,2.7,72,57.6,63.8,72,54.5,62.1,0,0,0,0,0,0,0,0,0,0,3,3,7,8,14,0,0,3,0,4,4,6,8,19,26,30,48,0,3,7,15,17,33,7,13,21
SAL10542,357,367,731,188,122,309,52,101,155,11,13,26,10,3,14,265,237,503,83,111,194,3.4,1.3,2.4,73.3,64.9,69.1,70.8,64.1,67.4,23,23,45,3,12,11,51,72,126,43,47,92,93,62,157,4,6,11,9,8,16,110,76,185,355,378,736,84,101,188,115,119,237,291,310,606
SAL10543,11,7,17,3,0,3,0,0,5,0,0,0,0,0,0,6,0,6,6,0,8,20,0,16.7,50,25,42.9,40,25,35.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,11,4,12,0,0,4,11,0,6,4,6,9
SAL10544,680,762,1441,270,168,436,88,178,268,24,27,55,15,10,28,404,387,789,214,303,515,4.7,2.8,3.8,59.6,50.7,54.9,56.8,49.2,52.8,36,51,88,13,37,51,92,147,232,54,79,132,171,80,246,4,11,16,13,22,36,186,111,297,617,663,1287,127,117,246,389,421,812,320,322,643
SAL10545,304,299,606,134,78,212,40,100,140,9,11,17,5,5,12,198,194,389,99,97,199,4.1,2.1,3.1,63.9,64.1,64,61.3,62.8,62,9,9,17,10,9,21,35,55,90,25,32,59,103,43,148,0,6,10,7,8,22,113,62,175,301,315,617,34,34,76,218,222,436,108,117,223
SAL10546,894,890,1780,464,240,709,78,247,327,55,48,99,13,11,28,612,553,1164,241,300,540,2.5,2.5,2.5,68.5,62,65.3,66.8,60.4,63.6,14,20,40,9,25,33,58,129,184,65,88,155,334,162,491,7,21,31,13,30,42,346,213,560,964,921,1882,122,132,256,640,613,1251,369,387,762
SAL10547,117,115,232,42,23,63,13,27,39,11,8,14,6,5,8,73,62,129,42,45,94,9.9,3.4,6.9,59.2,51.8,55.6,53.3,50,51.7,0,0,4,0,5,9,16,12,25,4,7,12,34,21,52,0,4,8,0,0,6,36,26,65,124,114,240,16,14,30,90,79,168,49,38,89
SAL10548,7,4,14,7,3,15,0,0,0,0,0,0,0,0,0,7,5,16,0,4,4,0,0,0,100,75,88.9,100,75,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,12,10,17,3,0,4,6,3,11,8,6,12
SAL10549,307,356,663,96,54,150,46,99,141,8,15,24,9,11,19,164,176,338,122,161,286,6.8,6.9,6.9,52.9,48.7,50.7,49.3,45.4,47.2,7,11,10,9,3,10,14,44,57,8,36,43,93,64,158,0,6,6,5,11,20,96,82,179,310,355,663,44,47,92,210,257,469,129,125,256
SAL10550,47,49,100,15,9,28,0,11,15,0,0,0,0,0,0,22,24,46,23,18,38,5.3,0,2.3,38.8,52.1,45.4,36.7,52.1,44.3,0,4,4,0,5,6,6,3,11,5,5,8,14,12,19,0,0,0,0,0,3,15,13,27,46,52,103,7,5,12,36,33,69,21,16,36
SAL10551,90,88,171,39,18,52,8,22,30,4,5,9,0,0,6,54,47,96,25,30,55,3.8,2.2,3.1,59.8,51.7,55.7,57.5,50.6,54,0,3,0,0,0,0,5,10,20,18,14,28,21,14,31,0,3,3,0,0,5,21,14,38,79,86,169,5,7,9,49,56,106,33,30,67
SAL10552,45,46,91,27,15,42,8,10,20,4,5,3,0,0,4,35,35,69,10,17,20,2.9,3,2.9,83.3,71.7,77.3,81,69.6,75,0,6,3,0,0,0,4,8,9,5,3,3,10,8,26,0,0,0,0,3,3,13,13,30,44,54,99,4,4,4,34,37,70,18,14,34
SAL10553,23,17,39,3,3,11,4,7,11,0,0,0,0,0,0,11,12,21,10,9,19,0,0,0,50,57.9,53.5,50,57.9,53.5,0,0,0,0,0,0,5,0,3,3,3,4,10,0,10,0,0,0,4,0,7,10,6,15,18,21,39,0,0,3,21,12,30,6,4,6
SAL10554,1827,2256,4090,848,701,1545,232,384,616,77,134,210,34,39,78,1190,1257,2449,573,905,1481,3.1,3.3,3.2,65.2,55.6,59.9,63.1,53.8,58,268,291,559,57,80,133,505,609,1114,199,300,498,243,118,363,15,16,29,31,79,113,283,222,504,1685,1992,3672,349,423,769,929,1104,2033,1009,1219,2227
SAL10555,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,50,100,66.7,50,100,66.7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0
SAL10556,163,148,309,86,60,142,13,32,49,9,4,14,3,0,8,113,99,212,31,41,75,3.5,3.1,3.3,71.9,64.2,68.2,69.4,62.3,65.9,4,11,12,0,7,6,10,16,27,15,15,27,46,30,77,0,5,3,8,6,9,53,39,96,157,136,292,32,28,54,107,89,196,70,69,139
SAL10557,33,29,68,20,8,26,3,7,10,4,0,4,0,0,0,20,18,43,7,11,17,0,5.6,2.5,61.1,60,60.6,61.1,56.7,59.1,0,0,0,0,0,0,0,8,8,0,0,0,11,3,15,0,0,0,0,4,5,14,8,18,37,33,73,4,0,3,29,27,54,8,8,16
SAL10558,54,43,101,29,14,40,0,8,13,0,0,0,0,0,0,37,18,58,13,14,28,3,0,1.8,61.1,51.2,56.7,59.3,51.2,55.7,0,4,5,0,0,0,6,6,8,3,3,3,9,3,10,0,0,0,0,0,3,6,5,15,48,42,91,11,12,17,35,37,70,17,19,32
SAL10559,9,6,24,4,3,8,0,4,4,0,0,0,0,0,0,4,4,10,3,4,6,0,0,0,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,3,0,3,5,3,4,0,0,0,0,0,0,5,7,5,9,9,13,4,5,4,8,8,11,5,7,8
SAL10560,337,389,728,104,103,204,25,43,69,8,13,19,14,9,25,150,170,321,136,166,294,9.9,5.9,7.8,44.7,43.3,44,40.2,40.8,40.5,3,9,17,0,4,4,15,36,46,16,24,39,43,26,70,5,6,9,5,0,6,52,39,89,313,342,653,63,54,119,230,240,468,117,138,249
SAL10561,63,59,123,29,18,52,15,19,33,0,0,0,4,0,4,45,39,84,12,16,31,4.5,0,2.4,71,68.3,69.7,67.7,68.3,68,3,0,3,0,0,0,7,14,14,0,3,3,18,12,31,0,0,0,4,0,4,17,12,32,62,59,117,14,14,19,41,32,72,33,29,58
SAL10562,9,9,11,0,7,6,0,0,0,0,0,0,0,0,0,3,3,7,0,0,6,0,0,0,57.1,62.5,60,57.1,62.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,13,0,0,0,3,4,11,0,4,5
