SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC12492,6,9,21,182,224,410,0,0,0,22,24,49,0,0,0,158,212,372,0,0,0,0,3,3,0,4,8,4,5,9,0,3,5,0,0,0,3,5,12,7,20,29,24,15,40,5,7,12,0,0,0,41,69,107,18,31,48,0,0,3,477,612,1092,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,7,4,309,260,572,0,0,3,3,0,3,312,261,579,66,58,133,870,952,1826
SSC12493,0,0,0,12,17,30,0,0,0,0,0,0,0,0,0,20,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,0,0,0,42,41,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,0,0,3,0,0,0,14,9,19,3,8,11,56,56,116
SSC12494,0,0,0,19,20,38,0,0,0,5,3,9,0,0,0,18,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,50,63,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,64,0,0,0,0,0,0,36,21,61,24,13,37,107,105,219
SSC12495,0,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,3,0,0,0,11,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,20,0,0,0,0,0,0,11,14,20,8,14,18,34,37,70
SSC12496,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,5,5,12,7,18
SSC12497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC12498,3,3,6,61,80,142,0,0,0,13,8,18,0,0,0,78,85,156,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,7,9,13,3,10,10,16,16,33,0,3,4,10,9,19,16,13,33,23,17,34,0,0,0,219,242,465,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,99,226,0,0,0,0,0,0,129,105,229,30,23,56,382,375,758
SSC12499,0,0,0,17,18,38,0,0,0,0,0,0,0,0,0,7,20,30,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,4,7,0,0,3,0,0,0,40,44,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,35,0,0,0,0,0,0,19,18,37,4,3,15,67,63,127
SSC12500,0,0,0,72,77,148,0,0,0,3,6,9,0,0,0,92,88,179,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,5,8,3,4,9,0,0,0,0,0,0,19,21,43,3,4,4,0,0,0,208,199,411,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,64,59,128,0,0,0,0,3,3,64,68,126,39,33,77,313,309,617
SSC12501,379,586,965,1108,1397,2510,14,16,27,76,95,177,0,0,0,4016,4441,8458,3,5,9,1093,1307,2400,13,31,50,16,16,31,27,25,52,47,57,97,48,56,102,137,167,298,286,313,599,0,3,5,9,14,19,127,158,289,195,259,456,7,3,7,7210,8373,15584,117,94,214,250,239,491,694,784,1475,3,7,8,13,13,31,39,41,82,54,59,114,4623,4205,8829,44,36,76,24,33,52,4689,4267,8955,1460,1432,2893,14858,15829,30688
SSC12502,0,0,0,59,53,116,0,0,0,3,0,4,5,3,6,64,73,133,0,0,0,3,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,17,28,0,0,0,0,0,3,21,26,47,11,5,16,0,0,0,186,181,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,75,0,0,0,0,0,0,51,23,75,444,27,470,680,234,909
SSC12503,0,0,0,50,33,82,0,0,0,0,0,0,0,0,0,79,71,148,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,7,6,11,0,0,0,0,0,0,0,7,12,0,0,3,0,0,0,136,125,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,81,0,0,0,0,0,0,41,39,81,15,15,25,193,176,368
SSC12504,713,851,1567,552,662,1212,4,3,4,55,60,113,0,0,0,2449,2830,5278,3,3,10,1086,1229,2317,21,31,55,4,10,12,16,21,35,38,49,87,30,39,72,56,71,125,102,82,180,9,10,18,11,22,33,83,110,199,161,183,344,8,5,12,4699,5413,10108,254,184,439,414,383,803,60,43,102,4,5,11,4,10,14,60,65,127,70,78,154,5273,5200,10472,71,65,141,27,44,67,5374,5308,10678,1442,1303,2739,13030,13556,26592
SSC12505,3,8,16,64,65,125,0,0,0,0,0,3,0,0,0,202,177,379,3,0,6,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,12,13,27,9,17,27,0,0,0,9,3,8,9,3,14,4,11,17,0,0,0,328,303,630,10,19,27,8,7,23,0,0,0,0,0,0,13,6,19,0,0,0,13,6,19,98,71,171,0,0,0,0,0,0,97,73,172,79,44,128,543,461,1008
SSC12506,264,358,621,465,554,1019,0,0,0,98,152,254,0,0,0,1246,1478,2725,12,15,25,88,80,168,7,12,12,10,3,6,14,18,32,71,77,148,41,50,90,77,94,171,210,228,443,9,11,17,9,8,18,83,151,236,165,201,366,3,4,4,2607,3126,5731,212,151,363,207,162,370,26,31,61,0,0,0,11,14,26,32,22,57,45,39,85,2422,2456,4877,10,18,30,4,10,9,2436,2478,4914,530,613,1139,6335,6957,13297
SSC12507,0,0,0,10,8,14,0,0,0,0,0,0,0,0,0,10,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,13,0,0,0,0,0,0,0,0,0,3,7,4,8,13,17,0,0,0,39,53,95,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,33,0,0,0,0,0,0,20,15,33,5,5,12,63,78,142
SSC12508,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,16,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,3,0,7,19,21,44
SSC12509,0,0,0,11,6,16,0,0,0,0,0,0,0,0,0,14,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,23,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,29,33,58
SSC12510,0,0,0,26,32,57,0,0,0,0,0,3,0,0,0,17,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,52,53,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,33,0,0,0,0,0,0,20,16,33,17,10,26,86,77,160
SSC12511,0,3,3,49,70,119,0,0,0,5,10,15,0,0,0,38,36,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,3,7,10,7,7,8,0,0,0,103,125,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,47,99,0,0,0,0,0,0,50,47,104,26,26,55,183,202,388
SSC12512,0,0,3,34,34,62,0,0,0,0,0,0,0,0,0,15,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,3,10,0,0,0,16,20,39,3,8,10,7,6,13,0,0,0,89,94,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,63,53,116,0,0,0,0,0,0,63,53,116,28,25,60,186,180,361
SSC12513,6,4,12,171,169,341,0,0,0,0,0,0,0,0,0,161,159,318,0,0,0,5,3,11,6,0,4,4,3,8,3,3,7,0,0,0,0,0,0,0,0,0,19,8,27,0,0,3,4,4,4,32,21,52,3,4,13,0,0,0,410,383,789,4,3,9,5,4,8,0,0,0,0,0,0,4,0,3,3,0,4,4,3,10,131,123,255,0,0,3,0,0,0,133,121,256,53,41,95,606,570,1178
SSC12514,28,35,64,799,895,1695,0,0,0,122,119,246,3,3,11,815,894,1707,4,8,13,78,65,144,7,17,24,8,14,18,8,7,22,3,6,9,16,13,31,50,53,100,106,127,229,29,23,47,24,23,47,185,211,392,95,108,207,0,0,3,2354,2584,4939,31,27,58,24,24,48,0,0,0,0,0,0,6,3,11,14,14,27,18,18,35,1113,985,2103,9,11,25,10,4,12,1135,1009,2142,209,202,410,3795,3898,7694
SSC12515,0,0,0,3,8,14,0,0,0,0,0,0,0,0,0,5,10,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,6,0,0,0,24,25,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,3,6,28,29,57
SSC12516,0,0,0,10,5,13,0,0,0,3,3,7,0,0,0,7,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,7,3,14,0,0,0,0,0,0,0,0,0,31,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,4,3,5,38,36,75
SSC12517,0,0,0,26,32,57,0,0,0,0,3,6,0,0,0,31,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,65,71,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,35,0,0,0,0,0,0,17,13,35,15,13,27,99,98,191
SSC12518,9,3,10,101,103,203,0,0,0,3,6,11,0,0,0,125,143,272,0,0,0,13,8,22,0,0,3,0,0,0,0,0,3,0,0,0,0,7,6,14,5,22,24,21,45,0,3,3,3,0,3,16,29,41,6,14,26,0,0,0,302,355,661,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,8,356,311,669,3,6,9,5,3,6,365,320,685,38,44,80,723,725,1444
SSC12519,399,548,944,447,397,845,4,8,10,56,79,133,0,0,0,1891,2060,3953,0,3,4,425,463,891,8,17,23,20,28,50,6,7,8,38,41,77,30,34,56,103,118,218,105,131,233,3,3,4,9,11,16,74,112,187,168,190,352,7,4,12,3404,3685,7088,226,196,427,360,317,674,57,48,105,0,0,0,12,6,23,18,16,29,25,26,53,2237,1836,4073,22,16,38,3,5,8,2261,1859,4123,699,666,1368,7437,7334,14772
SSC12520,3,0,8,102,124,223,0,0,0,14,10,20,0,0,0,104,106,214,0,0,0,6,7,9,5,7,10,0,0,0,3,0,3,0,0,0,16,16,31,9,8,14,12,7,18,0,0,0,6,5,9,24,20,41,7,7,17,0,0,0,292,317,610,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,157,127,279,0,4,5,0,0,4,156,130,288,44,35,73,503,484,987
SSC12521,0,0,0,9,15,18,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,0,0,0,0,0,17,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,3,3,24,30,49
SSC12522,0,0,0,90,103,200,0,0,0,11,4,15,0,0,0,102,109,214,0,0,0,0,0,0,0,0,0,0,7,6,0,3,0,0,0,0,0,0,0,0,0,0,18,17,38,3,4,4,0,0,0,42,60,96,3,4,9,0,0,0,274,307,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,125,283,0,0,0,0,0,0,154,127,285,44,29,72,466,472,938
SSC12523,0,0,0,17,24,35,0,0,0,0,0,0,0,0,0,13,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,21,7,29,0,0,0,0,0,0,53,51,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,23,0,0,0,0,0,0,17,7,27,22,12,32,93,70,164
SSC12524,96,125,225,491,605,1101,16,20,34,45,54,99,0,0,0,1654,1859,3513,0,0,0,259,277,539,5,5,10,13,15,30,9,3,17,18,24,42,12,11,24,29,63,98,92,91,181,0,4,4,3,4,8,42,34,71,73,91,168,3,3,5,2762,3177,5938,35,30,68,111,80,192,144,176,320,0,0,3,9,9,16,11,14,25,17,24,44,1112,957,2077,12,9,26,4,8,12,1132,979,2106,450,460,909,4761,5044,9804
SSC12525,0,0,0,14,5,24,0,0,0,0,0,0,0,0,0,11,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,41,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,5,3,12,49,36,82
SSC12526,0,0,0,14,9,28,0,0,0,0,0,0,0,0,0,18,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,44,42,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,20,0,0,0,0,0,0,14,8,20,5,4,10,60,53,113
SSC12527,0,0,0,9,14,14,0,0,0,0,0,0,0,0,0,12,17,25,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,4,3,4,4,7,9,0,0,0,29,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,21,0,0,0,0,0,0,8,14,21,3,3,4,34,58,90
SSC12528,0,0,0,12,5,22,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,3,0,8,26,15,43
SSC12529,0,0,0,6,10,13,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,19,0,0,0,3,3,5,15,7,24,0,0,3,28,27,51
SSC12530,63,94,157,627,676,1307,0,0,0,86,97,180,0,0,0,937,1035,1968,5,5,11,50,61,107,9,8,25,0,0,0,10,10,19,5,3,4,38,27,64,53,62,119,104,98,205,12,27,37,6,7,18,115,151,265,129,164,288,5,6,9,2187,2443,4630,35,15,55,70,40,112,4,3,6,0,0,0,4,8,9,16,25,42,26,27,50,1761,1629,3390,29,30,60,15,11,30,1804,1673,3474,447,383,833,4634,4673,9314
SSC12531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7
SSC12532,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,6,0,8,0,0,3,9,12,22
SSC12533,0,0,0,3,3,4,0,0,0,0,0,3,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,4,3,8,22,13,37
SSC12534,7,5,12,106,146,251,0,0,0,12,8,25,0,0,0,187,172,362,0,0,0,14,20,27,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,4,3,4,12,15,34,0,3,3,0,7,7,24,24,51,15,21,38,0,4,5,384,433,820,0,3,3,4,0,7,0,0,0,0,0,0,3,0,3,0,0,4,4,3,9,356,338,693,3,8,12,3,0,4,361,350,710,68,61,134,832,861,1692
SSC12535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12536,13,11,25,140,142,275,0,0,0,24,22,49,0,0,0,274,243,514,0,0,0,11,15,19,0,0,3,0,0,3,0,3,3,0,0,0,9,4,15,10,7,18,17,23,37,0,3,3,3,0,4,33,31,62,23,30,56,0,0,0,537,533,1077,3,3,7,8,0,13,0,0,0,0,0,0,6,0,7,3,0,7,4,3,9,351,276,630,7,0,8,0,5,5,356,283,644,68,63,130,1000,898,1895
SSC12537,0,0,0,12,13,18,0,0,0,0,0,0,0,0,0,19,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,15,0,0,0,0,0,0,6,11,17,0,0,3,0,0,0,49,41,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,31,0,0,0,0,0,0,19,11,31,16,11,25,81,66,148
SSC12538,3,9,15,23,27,55,0,0,0,3,0,7,0,0,0,93,101,193,0,0,0,17,14,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,4,13,6,3,12,0,0,0,0,0,0,7,8,11,12,11,24,0,0,0,167,169,333,82,68,153,37,16,50,0,0,0,0,0,0,12,21,34,3,5,4,18,23,38,48,43,95,0,0,0,0,0,0,48,43,95,48,33,79,401,368,767
SSC12539,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,0,0,0,7,7,12
SSC12540,0,0,0,41,44,79,0,0,0,0,3,6,0,0,0,41,26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,0,0,0,12,13,18,0,0,0,0,0,0,91,91,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,44,0,0,0,0,0,0,25,26,44,7,10,22,124,121,247
SSC12541,0,0,0,30,22,52,0,0,0,0,0,0,0,0,0,25,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,7,8,3,0,4,0,0,0,70,49,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,22,0,0,0,0,0,0,14,7,22,3,3,3,85,58,144
SSC12542,3,13,14,362,372,735,0,0,0,18,13,31,0,7,8,379,374,752,0,0,0,8,15,21,0,3,7,0,0,0,3,3,6,0,0,0,3,3,9,5,8,17,39,51,83,0,3,8,11,7,19,48,42,90,12,17,28,0,0,0,897,918,1819,0,0,0,7,6,12,0,4,6,0,0,0,0,0,0,3,3,8,3,3,8,299,247,553,0,0,3,0,0,3,305,254,554,72,73,145,1288,1264,2552
SSC12543,0,0,3,36,30,63,0,0,0,3,3,3,0,0,0,65,69,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,13,8,15,0,0,0,0,0,0,7,6,15,0,0,3,0,0,0,130,132,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,69,0,0,0,0,0,0,36,35,69,13,8,17,176,178,354
SSC12544,0,0,0,20,21,42,0,0,0,0,0,0,0,0,0,33,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,0,0,0,3,3,4,0,0,3,0,0,0,61,60,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,37,27,64,0,0,0,0,0,0,37,27,64,14,15,29,117,107,227
SSC12545,0,0,0,48,56,107,0,0,0,7,10,16,0,0,0,35,54,84,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,6,3,15,0,0,0,5,3,5,16,11,25,8,6,12,0,0,0,129,142,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,96,81,168,0,0,0,0,0,3,97,77,172,32,34,61,252,257,510
SSC12546,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,16,12,28,0,0,0,3,0,0,3,3,5,0,0,0,0,0,0,0,0,3,0,0,3,20,22,41,0,0,0,0,0,0,20,22,41,9,7,19,53,49,102
SSC12547,11,24,41,141,185,326,0,0,0,0,4,3,0,0,0,226,242,468,0,0,0,10,12,20,0,0,0,0,0,0,0,3,3,0,0,0,0,3,9,8,11,11,15,23,36,0,0,0,0,0,0,8,29,38,9,17,30,0,0,0,423,527,953,16,6,26,10,9,12,9,15,24,0,0,0,4,0,3,0,3,6,5,4,6,448,432,883,8,4,19,0,4,3,463,441,903,145,164,309,1088,1192,2278
SSC12548,0,0,0,9,9,24,0,0,0,0,0,0,0,0,0,6,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,4,4,0,0,4,27,31,57
SSC12549,0,3,4,25,24,45,0,0,0,0,0,3,0,0,0,47,51,97,0,0,0,0,0,0,0,3,6,0,0,0,0,3,8,0,0,0,0,0,0,0,4,5,6,6,13,0,0,0,0,0,0,8,10,20,0,0,0,0,0,0,90,102,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,36,88,0,0,0,0,0,0,49,36,88,7,15,21,155,158,309
