LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA17150,23731,47675,459,2512,3075,14089,584,2659,16416,64089,20534,83348,2160,9327,2806,10035,6475,21468,11444,40829,31979,124177,84,358,584,1891,202,725,2580,6387,3447,9366,437,1382,943,2118,3573,7859,4946,11363,8396,20726,651,1343,64749,193921
LGA17200,29833,59592,23,123,513,2218,59,245,7925,27600,8525,30186,237,978,965,3137,1137,3588,2343,7700,10863,37884,19,79,199,648,74,263,1731,3909,2018,4891,156,489,769,1659,1666,3551,2593,5698,4609,10586,1394,2937,46705,111005
LGA17310,6825,13626,120,640,616,2902,231,1064,3564,14113,4534,18729,230,969,430,1371,1119,3503,1780,5836,6311,24564,40,208,198,742,121,454,1477,4208,1840,5614,89,268,226,505,985,2113,1304,2889,3144,8502,273,569,16549,47259
LGA17350,779,1557,20,117,66,304,24,110,292,1238,406,1775,16,78,30,87,122,393,173,560,573,2337,6,17,17,70,18,53,89,247,128,377,5,15,17,32,98,206,118,254,244,634,28,50,1625,4583
LGA17400,1030,2051,10,46,53,273,21,105,239,936,331,1364,17,62,36,113,83,265,136,438,466,1807,7,26,19,70,20,60,119,337,164,496,8,15,15,28,105,227,122,270,283,766,15,36,1800,4654
LGA17420,16298,32876,447,2508,3483,16061,529,2442,16452,64511,20916,85512,2172,9400,3357,12108,5694,18967,11221,40473,32140,125993,60,265,404,1293,116,400,1652,4322,2232,6278,378,1238,729,1737,2117,4838,3220,7807,5452,14086,408,878,54291,173828
LGA17550,11692,23362,143,770,858,3918,313,1408,5152,20223,6464,26318,405,1688,706,2381,1898,6074,3006,10142,9471,36457,61,273,310,1059,184,685,1637,4345,2188,6360,149,483,408,880,1908,4086,2462,5451,4655,11812,360,754,26176,72383
LGA17620,1755,3490,28,148,174,800,62,263,829,3320,1098,4528,85,340,105,316,229,699,412,1352,1508,5881,0,3,31,112,21,74,218,582,270,766,11,47,40,92,196,413,251,547,525,1316,36,68,3821,10753
LGA17640,1205,2381,12,85,75,358,35,156,457,1829,579,2427,42,175,66,198,201,631,310,1004,891,3431,0,7,14,55,15,47,86,235,118,334,10,34,18,35,106,229,138,301,255,639,28,55,2379,6512
LGA17650,794,1577,13,86,60,283,38,160,304,1214,415,1742,23,81,51,169,110,348,178,602,595,2341,0,4,13,51,12,34,107,297,135,386,10,31,26,49,83,167,113,250,246,635,28,56,1666,4611
LGA17750,6678,13266,178,1070,739,3510,259,1224,4201,16715,5378,22525,294,1242,504,1659,1168,3674,1967,6574,7342,29091,34,152,201,731,127,494,1368,3728,1732,5107,112,360,218,452,941,2026,1271,2842,3001,7947,251,528,17273,50836
LGA17850,468,923,0,3,34,136,9,32,155,630,195,799,10,18,20,68,46,140,77,232,271,1035,0,0,11,32,4,12,31,86,44,132,0,0,6,14,26,45,27,63,73,193,10,21,820,2173
LGA17900,460,928,3,30,34,140,10,50,183,717,232,935,7,29,21,61,45,134,73,228,305,1162,3,26,21,77,12,39,99,300,135,434,0,5,9,16,78,183,88,199,219,634,23,46,1012,2775
LGA17950,287,571,0,9,29,147,5,41,132,551,174,745,12,36,15,31,39,114,57,187,237,929,0,8,3,13,6,22,43,122,51,163,0,3,6,12,35,71,41,87,92,249,10,28,625,1780
LGA18020,1092,2186,8,62,79,391,30,127,390,1604,510,2186,31,130,54,180,144,453,233,761,744,2949,13,55,35,117,11,51,147,397,199,614,12,32,32,66,136,293,185,393,380,1012,37,72,2252,6210
LGA18050,7487,14913,56,291,753,3394,58,248,4488,16831,5349,20767,265,1141,787,2777,706,2225,1760,6142,7114,26905,12,42,166,506,19,64,744,1695,938,2310,77,221,310,672,598,1263,986,2162,1918,4471,258,529,16776,46814
LGA18100,508,1015,7,34,39,186,7,47,153,624,213,893,3,19,35,112,60,178,102,303,310,1201,0,10,10,26,8,18,37,119,54,176,4,26,8,7,59,131,76,169,127,342,27,49,975,2609
LGA18200,878,1758,14,77,76,335,32,141,421,1690,543,2241,25,103,49,151,150,463,223,719,767,2964,0,10,16,63,11,39,93,253,114,356,10,38,28,62,83,188,127,287,241,641,25,63,1912,5430
LGA18250,7204,14463,49,259,1091,4852,68,296,6227,23472,7441,28885,419,1754,1361,4765,1334,4290,3112,10808,10550,39685,8,32,182,568,24,80,868,2058,1090,2740,106,339,509,1197,896,1924,1512,3473,2599,6211,347,736,20701,61097
LGA18350,7128,14279,93,525,554,2577,183,855,3002,11874,3836,15824,254,1057,476,1565,1063,3396,1785,6023,5623,21845,23,127,142,466,78,286,588,1582,833,2459,91,291,175,381,873,1909,1133,2572,1965,5039,157,317,14868,41480
LGA18400,5310,10720,202,1156,697,3350,341,1609,3836,15529,5076,21634,431,1900,423,1516,1623,5439,2484,8849,7557,30489,37,188,130,456,99,347,740,2060,1001,3060,71,224,147,317,718,1620,935,2168,1939,5223,112,246,14922,46680
LGA18450,21898,44059,396,2225,2384,11002,624,2892,12942,50611,16341,66731,1380,5888,1963,6902,5100,16728,8443,29511,24785,96244,129,608,632,2137,344,1245,3275,8671,4380,12657,408,1311,891,1980,3940,8703,5241,11996,9627,24654,841,1768,57143,166731
LGA18500,6407,12720,32,185,629,2811,47,187,3119,11749,3825,14930,261,1086,757,2617,655,2044,1674,5748,5501,20674,8,31,136,405,11,34,610,1392,766,1869,65,194,306,672,507,1076,878,1939,1641,3811,212,431,13761,37633
LGA18710,1962,3940,32,184,251,1147,67,299,1172,4691,1518,6314,115,465,206,684,429,1366,745,2520,2260,8833,12,54,41,136,18,60,191,516,263,763,30,95,62,123,194,410,284,634,553,1396,36,75,4813,14249
LGA19399,118,230,0,0,5,19,3,9,69,258,76,290,0,4,5,18,19,59,25,81,108,373,0,0,0,3,0,0,16,36,14,38,0,0,0,0,7,17,14,20,24,63,3,6,251,678
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
