LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA14400,9238,10036,19277,3559,1893,5448,1237,2583,3820,404,539,941,187,173,361,5388,5185,10573,3377,4356,7732,3.5,3.3,3.4,58.3,51.7,54.9,56.3,49.9,53,596,705,1299,233,479,707,1691,2115,3805,930,1344,2278,2506,999,3507,79,176,257,187,361,551,2781,1536,4317,9217,9674,18896,1355,1495,2846,6372,6621,12989,3689,4096,7781
LGA14500,47410,52508,99922,21054,14121,35175,6815,11559,18373,2090,2948,5037,1438,1135,2572,31393,29764,61155,14849,21343,36191,4.6,3.8,4.2,66.2,56.7,61.2,63.2,54.5,58.6,9300,8228,17532,1376,2172,3549,15473,17073,32538,3650,5656,9307,2968,1656,4623,201,358,559,685,1222,1909,3857,3235,7088,50188,53805,103997,7888,8501,16387,34125,36748,70869,21449,23133,44589
LGA14550,3912,3967,7875,1157,693,1847,507,913,1422,128,125,251,123,94,220,1918,1815,3740,1605,1756,3364,6.6,5.1,5.8,49.1,45.9,47.5,45.8,43.6,44.7,71,84,154,45,92,133,278,497,775,232,447,678,951,563,1511,50,89,140,66,99,170,1068,752,1820,3623,3636,7262,487,544,1034,2627,2540,5168,1309,1459,2766
LGA14600,2377,2418,4797,1052,552,1610,216,543,758,75,81,160,73,62,144,1424,1245,2664,680,885,1570,5.4,5.1,5.2,59.9,51.4,55.6,56.7,48.8,52.7,35,42,78,13,45,54,107,248,359,84,194,275,484,280,764,23,39,60,49,51,95,555,372,923,2300,2253,4555,333,348,685,1702,1637,3339,779,816,1594
LGA14650,84390,90692,175079,34823,20259,55083,11087,23884,34971,3160,4198,7361,2656,1999,4662,51731,50336,102070,29042,36529,65574,5.1,4,4.6,61.3,55.5,58.3,58.1,53.3,55.6,3154,3508,6663,1097,2315,3412,9257,14008,23269,6846,10031,16882,26234,13446,39671,854,1619,2472,1514,2817,4330,28596,17882,46482,86011,90033,176041,12795,13876,26675,58731,60889,119615,34878,37974,72852
LGA14700,15599,16661,32254,8173,6372,14550,2202,3407,5602,709,970,1681,425,382,814,11516,11132,22651,3531,4860,8392,3.7,3.5,3.6,73.8,66.8,70.2,71.1,64.5,67.7,2894,2834,5726,477,736,1209,5302,6041,11341,1249,1664,2912,1206,678,1885,71,118,190,205,340,549,1484,1134,2620,14991,15663,30650,3439,3457,6898,8711,9262,17971,8777,8938,17712
LGA14750,4431,4608,9041,2136,1187,3321,415,1062,1475,127,145,276,105,100,202,2784,2494,5274,1249,1721,2965,3.7,4,3.8,62.8,54.1,58.4,60.4,52,56.1,62,65,131,35,69,99,268,475,745,183,332,514,1191,663,1851,44,88,133,58,103,162,1285,855,2141,4383,4502,8884,696,738,1437,2900,2866,5766,1890,2111,3998
LGA14850,17838,18917,36751,6398,4244,10636,3026,5091,8115,567,730,1291,631,456,1087,10615,10521,21135,5879,7002,12878,5.9,4.3,5.1,59.5,55.6,57.5,56,53.2,54.6,684,800,1484,284,640,922,2059,3206,5266,1231,2030,3263,4457,2700,7153,211,355,564,280,532,812,4950,3585,8534,17073,17677,34748,2782,2977,5761,11484,11819,23306,7459,8009,15467
LGA14870,8777,8650,17426,3058,1661,4718,900,1932,2829,351,404,753,298,189,483,4603,4189,8790,3511,3881,7389,6.4,4.5,5.5,52.4,48.4,50.4,49.1,46.2,47.7,164,206,365,78,185,265,522,870,1389,520,799,1314,2642,1284,3923,109,201,311,124,219,343,2879,1693,4573,8222,8272,16494,1086,1167,2255,5909,5927,11832,2968,3098,6068
LGA14900,89578,92294,181869,28631,21073,49704,10057,14801,24858,8939,6457,15394,3545,2813,6361,51175,45142,96313,32331,41208,73540,6.9,6.2,6.6,57.1,48.9,53,53.2,45.9,49.5,3994,4365,8360,695,1350,2044,11427,14754,26180,7378,9862,17243,15740,8442,24180,644,1305,1946,1314,2172,3489,17696,11920,29620,94658,95876,190530,12854,13147,26007,62250,63312,125559,38192,39219,77413
LGA14920,3078,3138,6222,1224,659,1887,284,664,947,102,106,211,102,91,189,1713,1523,3236,992,1243,2234,5.8,6,5.9,55.6,48.5,52,52.4,45.6,49,36,44,83,7,34,48,135,305,449,121,252,371,759,433,1187,38,78,109,56,80,135,850,586,1438,2850,2810,5653,452,467,919,2060,2017,4079,1068,1101,2173
LGA14950,1304,1327,2636,601,299,904,104,317,417,43,49,90,23,26,43,767,684,1452,423,537,965,2.5,3.3,2.9,58.9,51.7,55.3,57.5,50,53.7,14,24,36,6,32,40,53,163,218,79,135,209,372,183,559,22,37,57,30,33,62,426,251,675,1353,1355,2709,146,169,312,975,1016,1991,433,432,865
LGA15050,34033,36923,70959,16265,9613,25878,4419,9851,14271,1295,1836,3131,1133,982,2118,23114,22283,45403,9460,13188,22645,4.9,4.4,4.7,67.9,60.4,64,64.6,57.7,61,888,1105,1991,349,832,1183,2857,4918,7774,2676,4008,6688,10811,6688,17493,381,734,1109,507,929,1437,11700,8349,20041,34851,36714,71568,6586,7201,13787,21366,22212,43576,17477,19222,36695
LGA15240,39941,42566,82510,10733,6643,17379,4913,8986,13894,1314,1435,2750,1294,933,2231,18252,17993,36246,18707,21424,40128,7.1,5.2,6.1,45.7,42.3,43.9,42.5,40.1,41.2,833,936,1773,393,766,1164,2799,4406,7201,2582,4357,6937,11785,6157,17943,444,890,1331,741,1304,2041,12974,8340,21313,36852,38656,75504,6105,6562,12668,24715,25629,50344,16498,17845,34343
LGA15270,10305,10293,20595,4533,2260,6792,1101,2696,3794,379,464,841,248,216,470,6261,5640,11895,3216,3882,7096,4,3.9,4,60.7,54.8,57.8,58.3,52.6,55.5,174,289,464,67,195,263,748,1284,2024,575,1019,1595,3366,1694,5060,121,209,325,165,312,476,3651,2208,5862,9989,9836,19833,1737,1791,3531,6387,6096,12493,4700,4911,9609
LGA15300,5018,5109,10132,2159,1356,3510,392,958,1353,148,188,334,115,92,209,2812,2594,5408,1117,1437,2556,4.1,3.5,3.8,56,50.8,53.4,53.7,49,51.3,54,78,129,26,97,122,317,598,914,242,423,661,984,557,1543,41,88,129,34,93,125,1061,741,1798,4161,4177,8337,726,733,1461,3006,2949,5953,1560,1702,3264
LGA15350,10707,13010,23719,5039,3964,9002,1560,2457,4017,476,662,1132,236,286,522,7307,7368,14676,3027,5192,8220,3.2,3.9,3.6,68.2,56.6,61.9,66,54.4,59.7,1917,1902,3823,307,522,832,3812,4475,8289,810,1508,2323,698,407,1103,34,71,107,137,305,445,868,779,1650,10322,12144,22465,2145,2508,4656,6626,7860,14484,5322,6270,11597
LGA15520,5296,5384,10681,2160,1097,3253,581,1370,1953,189,257,448,102,86,181,3027,2806,5834,1817,2160,3970,3.4,3,3.2,57.2,52.1,54.6,55.2,50.6,52.9,67,92,155,41,134,172,339,657,998,329,506,828,1461,671,2125,36,65,98,72,88,156,1567,822,2382,4934,5007,9940,832,838,1669,3279,3285,6564,2193,2324,4518
LGA15560,1442,1345,2785,739,352,1089,102,345,451,58,49,108,26,19,49,930,772,1698,367,440,805,3.2,2.9,3.1,64.4,57.3,61,62.3,55.6,59.1,15,24,40,4,32,39,79,142,226,67,120,184,347,149,494,11,37,48,19,29,48,374,217,587,1352,1235,2591,192,182,379,1002,896,1897,460,452,914
LGA15650,6568,6324,12894,3047,1630,4676,638,1522,2161,248,269,517,220,181,397,4158,3593,7751,1947,2328,4276,5.3,4.9,5.1,63.3,56.8,60.1,59.9,54,57,81,90,175,41,88,127,259,564,827,340,528,871,2097,1161,3264,75,141,214,89,155,242,2264,1456,3714,6246,6126,12369,1209,1220,2426,3958,3822,7782,3042,3116,6160
LGA15700,8320,8873,17188,2069,1354,3429,1154,1953,3108,268,281,553,309,202,519,3808,3799,7602,3849,4399,8244,8.2,5.4,6.8,45.8,42.8,44.2,42,40.5,41.2,147,197,342,80,202,284,621,973,1590,471,904,1374,2357,1340,3694,106,220,322,117,251,366,2578,1804,4385,7899,8271,16168,1075,1199,2273,5315,5496,10809,3245,3539,6784
LGA15750,5095,5067,10166,2443,1377,3825,484,1105,1591,168,197,364,132,109,245,3228,2796,6022,1280,1735,3015,4.1,3.9,4,63.3,55.2,59.3,60.7,53,56.9,87,85,172,31,79,106,280,552,827,223,408,629,1205,774,1980,47,94,141,71,119,190,1319,982,2303,4869,4778,9651,689,752,1446,3491,3430,6926,1738,1801,3536
LGA15800,2237,2313,4551,941,510,1450,223,525,744,59,73,139,81,48,128,1304,1158,2463,710,945,1648,6,4.2,5.2,58.4,50,54.1,54.9,47.9,51.3,35,28,59,17,40,56,112,260,370,102,190,292,523,300,817,33,53,78,27,50,80,573,406,978,2192,2238,4429,300,326,623,1552,1580,3130,785,856,1640
LGA15850,2488,2520,5013,1113,621,1734,211,522,737,73,105,181,65,60,121,1466,1310,2773,706,873,1579,4.3,4.5,4.4,58.7,51.9,55.3,56.2,49.6,52.9,18,35,57,11,38,53,137,311,448,102,221,316,624,328,946,29,51,79,31,57,87,676,436,1112,2393,2299,4685,337,348,687,1747,1670,3416,796,855,1653
LGA15900,68894,72624,141514,29004,19451,48453,11308,20204,31512,2637,3462,6096,2638,1757,4392,45583,44873,90454,19656,24050,43710,5.8,3.9,4.9,66.2,61.8,63.9,62.3,59.4,60.8,4505,4968,9473,1197,2321,3516,11693,15388,27087,5283,7203,12487,15701,8680,24387,692,1065,1753,1017,1584,2598,17409,11329,28740,63770,65809,129582,14149,15064,29212,40108,41374,81482,33973,35815,69781
LGA15950,28029,32198,60221,15362,13817,29180,3567,5572,9139,1148,1720,2861,784,712,1487,20859,21809,42671,5913,8974,14888,3.7,3.2,3.5,74.4,67.7,70.9,71.6,65.5,68.4,5327,5696,11020,893,1549,2443,10330,12011,22342,2358,3358,5713,1923,1165,3089,119,189,312,369,624,991,2404,1984,4390,23204,25987,49189,7488,8564,16054,12174,14270,26448,17151,19020,36170
LGA15990,103861,110961,214822,47514,31470,78987,16555,27543,44098,5432,7711,13145,2473,2034,4513,71976,68759,140732,28054,37880,65932,3.4,3,3.2,69.3,62,65.5,66.9,60.1,63.4,9780,9541,19314,2110,3927,6038,25514,30221,55730,10105,14773,24872,18495,7604,26095,621,1311,1930,2103,3453,5561,21223,12362,33585,105429,110078,215507,17683,18556,36241,70824,74510,145337,46415,48355,94773
LGA16100,2435,2190,4626,1025,532,1557,225,475,700,105,88,193,48,40,89,1402,1135,2539,754,806,1565,3.5,3.5,3.5,57.6,52,54.9,55.6,50.2,53,60,49,112,17,46,67,158,283,435,114,197,312,688,277,957,27,37,59,35,60,97,742,370,1111,2158,2042,4199,295,299,594,1476,1394,2866,862,858,1715
LGA16150,16253,17878,34134,7721,5218,12940,1999,4340,6343,482,681,1165,407,339,748,10613,10581,21195,4636,6256,10891,3.8,3.2,3.5,65.3,59.2,62.1,62.8,57.3,59.9,737,805,1539,228,496,724,1916,3076,4994,1166,1872,3043,4177,2624,6803,175,316,495,233,507,738,4585,3450,8032,16380,17404,33779,3191,3358,6550,9815,10474,20284,8443,9147,17590
LGA16200,5636,5792,11429,2480,1466,3947,570,1310,1882,176,186,366,211,117,336,3440,3088,6528,1730,2294,4017,6.2,3.9,5.1,61.1,53.3,57.1,57.3,51.2,54.2,85,115,200,44,87,129,329,661,992,273,473,747,1491,966,2454,64,107,170,84,174,253,1638,1238,2880,5598,5712,11308,855,873,1728,3820,3891,7711,2221,2359,4573
LGA16260,104821,105266,210087,42916,31251,74165,14082,19240,33328,8346,7201,15548,3788,3689,7470,69135,61379,130510,30431,38869,69297,5.5,6,5.7,66,58.3,62.1,62.3,54.8,58.6,15926,15197,31116,1894,2896,4783,27543,29388,56928,9345,10730,20074,11489,6005,17501,603,957,1566,1352,2133,3480,13446,9098,22545,95639,96909,192542,24682,23980,48662,53897,56080,109980,59595,58238,117835
LGA16350,83835,87711,171550,35756,24496,60248,11132,17608,28740,6306,6792,13100,2578,2304,4881,55771,51202,106975,23141,31313,54453,4.6,4.5,4.6,66.5,58.4,62.4,63.5,55.7,59.5,3221,3838,7065,762,1570,2333,8107,12151,20257,6105,9096,15202,21759,12262,34023,776,1528,2300,1343,2112,3452,23876,15895,39772,86132,88123,174252,13224,14004,27227,55857,56921,112772,36910,39084,75991
LGA16380,34462,38436,72905,11512,7745,19259,4822,9235,14061,995,1281,2275,982,805,1789,18309,19073,37384,14335,17488,31821,5.4,4.2,4.8,53.1,49.6,51.3,50.3,47.5,48.8,1076,1212,2291,476,943,1419,3346,5320,8667,2691,4372,7064,10169,5806,15970,361,771,1140,707,1221,1926,11232,7799,19035,33037,35943,68982,5969,6603,12569,20737,22290,43029,16525,18677,35207
LGA16400,30471,31914,62387,10924,5866,16790,3726,7658,11384,1296,1510,2812,940,686,1632,16887,15724,32614,11843,14466,26308,5.6,4.4,5,55.4,49.3,52.3,52.3,47.1,49.7,759,844,1602,326,676,1002,2341,3618,5961,2486,3542,6028,9700,5082,14782,323,659,981,524,1005,1527,10550,6745,17292,29552,30568,60121,5042,5249,10283,18962,19447,38408,14089,14825,28913
LGA16490,25445,25495,50943,13845,9710,23555,3266,5851,9123,872,1237,2114,601,500,1096,18590,17299,35883,5515,6957,12475,3.2,2.9,3.1,73,67.9,70.4,70.7,65.9,68.3,2313,2057,4370,585,1037,1628,3487,4866,8353,2373,2957,5325,5820,2983,8805,228,369,596,338,568,903,6385,3921,10301,25185,24923,50104,4652,4572,9226,15716,15469,31188,12371,12364,24740
LGA16550,54825,58759,113579,23269,19409,42675,7733,11901,19636,2964,3804,6764,1677,1405,3083,35640,36520,72162,15808,18974,34775,4.7,3.9,4.3,65,62.1,63.5,62,59.8,60.8,7179,7689,14866,989,1938,2931,13812,17565,31380,4133,6056,10189,7391,3063,10458,285,481,770,764,1208,1971,8438,4756,13192,47705,51147,98850,12492,13433,25927,29968,32778,62750,27330,29080,56407
LGA16610,9466,9788,19254,3074,1924,4999,1251,2176,3428,331,369,699,244,208,449,4904,4669,9571,3612,4192,7810,5,4.4,4.7,51.8,47.7,49.7,49.2,45.6,47.4,121,142,259,61,148,214,465,913,1375,401,844,1245,2476,1624,4101,113,189,297,135,260,400,2724,2077,4799,8953,9237,18188,1357,1406,2766,6257,6349,12606,3562,3843,7403
LGA16700,52218,55936,108154,22917,17480,40389,7435,10832,18269,3205,3702,6904,1845,1651,3495,35400,33658,69053,14525,19793,34314,5.2,4.9,5.1,67.8,60.2,63.8,64.3,57.2,60.6,8024,8216,16245,949,1729,2680,14786,16489,31273,4547,5684,10236,5907,2959,8869,273,484,763,733,1297,2022,6914,4740,11651,48222,50912,99139,11669,11913,23585,28597,30404,59001,28271,29474,57745
LGA16900,29670,31983,61655,11918,6880,18795,3742,7713,11455,1836,2443,4277,881,685,1565,18371,17720,36088,9760,12772,22532,4.8,3.9,4.3,61.9,55.4,58.5,59,53.3,56,696,848,1547,261,656,918,2216,3704,5923,2319,3583,5899,9583,5382,14966,292,628,927,489,1057,1544,10366,7067,17434,30240,31606,61845,4687,5099,9790,20281,21098,41375,12682,13798,26482
LGA16950,44814,46375,91186,14070,8226,22299,5895,10776,16673,1505,1823,3329,1235,945,2181,22701,21770,44471,19307,21770,41077,5.4,4.3,4.9,50.7,46.9,48.8,47.9,44.9,46.4,1338,1620,2964,540,1286,1825,3809,5816,9628,3228,5038,8263,13759,6814,20570,450,906,1358,821,1483,2300,15021,9204,24224,41770,43238,85014,7066,7439,14501,27754,28442,56193,18710,20112,38826
LGA17000,10055,9446,19501,5184,2357,7534,1041,2552,3592,442,535,975,251,216,467,6917,5658,12574,2391,3266,5655,3.6,3.9,3.7,68.8,59.9,64.5,66.3,57.6,62.1,180,186,365,65,164,229,661,1023,1682,630,869,1495,3443,1885,5322,126,200,329,114,303,414,3679,2385,6062,9660,9493,19155,1957,1647,3603,6154,5939,12090,4830,4600,9428
LGA17040,9297,8818,18112,4050,2540,6589,1417,2411,3826,332,326,652,179,138,320,5977,5412,11382,2604,2735,5341,3,2.6,2.8,64.3,61.4,62.8,62.4,59.8,61.1,320,367,688,114,252,361,997,1413,2413,630,959,1585,2672,1233,3905,90,159,249,146,226,371,2901,1615,4521,8391,8032,16427,1681,1618,3295,5693,5361,11057,3930,3862,7787
LGA17080,6127,6024,12150,2632,1333,3960,611,1524,2133,222,230,454,164,126,289,3627,3212,6842,2054,2335,4388,4.5,4,4.3,59.2,53.3,56.3,56.5,51.2,53.9,83,113,199,44,153,201,404,661,1059,294,546,841,1685,882,2564,55,114,170,85,139,221,1823,1135,2959,5882,5848,11733,782,846,1627,4168,4044,8208,2167,2293,4464
LGA17100,19932,18896,38823,7532,5311,12843,3559,3831,7383,1342,1231,2570,901,668,1566,13334,11038,24366,5393,6868,12265,6.8,6.1,6.4,66.9,58.4,62.8,62.4,54.9,58.7,2998,2431,5424,306,456,765,5605,5548,11152,1940,1947,3886,1568,890,2460,78,130,206,243,320,557,1887,1337,3226,16773,16526,33296,5148,4470,9616,9347,9677,19023,11532,10348,21878
LGA17150,90573,97105,187676,40822,26813,67629,12927,23818,36744,5678,7390,13067,2113,1635,3742,61535,59650,121182,25835,33904,59740,3.4,2.7,3.1,67.9,61.4,64.6,65.6,59.7,62.6,5661,6015,11680,1571,3069,4643,15744,20711,36450,9296,12987,22290,23795,9421,33218,647,1379,2029,2000,3506,5509,26454,14309,40759,94005,98277,192286,13475,14151,27618,65858,69018,134877,36118,38067,74187
LGA17200,102401,93203,195604,47278,35593,82867,14950,16549,31499,6097,6428,12521,4061,3412,7468,72388,61972,134357,22021,24725,46744,5.6,5.5,5.6,70.7,66.5,68.7,66.7,62.8,64.9,16087,15559,31649,2519,3024,5547,33137,32521,65657,9437,9301,18735,7746,3918,11669,511,598,1104,1188,1278,2468,9439,5793,15235,67768,61399,129171,33754,32058,65808,32029,28977,61002,66252,61591,127839
LGA17310,24249,26112,50366,10873,7144,18018,2845,6073,8919,748,953,1703,707,630,1341,15174,14806,29980,7284,9460,16743,4.6,4.3,4.5,62.6,56.7,59.5,59.7,54.3,56.9,551,761,1315,256,613,871,1895,3460,5355,1432,2540,3970,6577,4068,10646,267,536,800,369,745,1122,7212,5354,12563,23491,24559,48055,4684,4909,9595,14999,15657,30657,11418,12296,23718
LGA17350,2387,2544,4939,1039,552,1591,265,657,923,86,89,175,41,34,79,1435,1329,2764,825,1079,1908,2.9,2.7,2.8,60,52.2,56,58.2,50.8,54.4,18,35,58,19,48,66,143,301,446,94,214,303,677,358,1035,32,70,100,36,71,103,743,500,1245,2416,2501,4911,348,379,723,1822,1880,3699,792,842,1640
LGA17400,2864,2993,5856,826,490,1320,330,609,934,84,95,175,106,72,183,1343,1264,2611,1239,1442,2684,7.9,5.8,6.9,47,42.3,44.6,43.3,39.8,41.5,55,43,94,25,64,92,177,319,497,173,258,430,690,386,1079,33,75,109,49,69,112,776,527,1303,2553,2661,5210,414,442,857,1866,1893,3763,951,1079,2030
LGA17420,73682,77526,151213,35429,23858,59284,10130,17168,27297,4376,5524,9901,2253,1868,4119,52185,48412,100595,19463,27003,46461,4.3,3.9,4.1,70.8,62.4,66.5,67.8,60,63.8,9563,8766,18334,1530,2338,3866,18064,20922,38988,7034,9169,16201,11472,5324,16787,394,835,1225,1294,2100,3389,13158,8254,21411,77958,80137,158094,13487,13989,27479,49232,50565,99795,37381,38878,76257
LGA17550,38478,42828,81307,12621,7718,20343,5884,11164,17048,1438,1855,3290,1162,977,2143,21107,21719,42819,14506,18077,32582,5.5,4.5,5,54.8,50.7,52.7,51.8,48.4,50,1137,1448,2582,493,1092,1581,3957,6282,10237,2969,4901,7865,10660,5607,16261,338,680,1014,658,1244,1899,11653,7525,19176,36597,39498,76099,6361,7014,13382,23783,25469,49259,17123,19063,36189
LGA17620,5735,5857,11587,2747,1640,4385,577,1382,1956,227,215,442,131,95,224,3679,3330,7009,1649,2155,3808,3.5,2.9,3.2,64.2,56.9,60.5,62,55.2,58.5,77,124,201,35,87,115,353,724,1073,299,528,831,1713,949,2666,59,119,182,83,177,261,1856,1245,3105,5638,5559,11192,900,1012,1913,3873,3826,7693,2304,2425,4734
LGA17640,3572,3528,7106,1546,868,2415,413,889,1303,133,143,276,73,45,125,2173,1948,4122,1095,1288,2384,3.5,2.4,3,60.8,55.2,58,58.6,53.9,56.3,99,109,207,34,102,132,290,482,771,249,393,642,978,478,1451,37,72,114,59,89,143,1071,638,1709,3469,3346,6819,417,451,871,2521,2368,4883,1159,1248,2407
LGA17650,2356,2561,4915,957,608,1568,298,643,940,78,97,182,65,54,115,1402,1404,2806,789,985,1771,4.6,3.8,4.2,59.6,54.7,57,56.8,52.7,54.6,98,140,239,38,65,108,218,418,637,167,290,459,640,342,982,41,48,88,39,63,105,723,459,1182,2298,2431,4730,342,403,752,1697,1772,3471,814,936,1750
LGA17750,25886,27974,53857,12873,8039,20907,3311,7185,10498,781,1096,1877,764,639,1397,17725,16953,34679,6555,9436,15989,4.3,3.8,4,68.5,60.6,64.4,65.5,58.3,61.8,948,1071,2014,372,779,1144,2699,4658,7353,1703,2742,4444,7075,3997,11075,307,510,820,366,702,1066,7743,5210,12965,25078,26424,51501,5377,5896,11272,15251,15996,31251,13275,14462,27733
LGA17850,1258,1247,2508,589,289,873,122,301,426,39,37,77,23,17,43,778,639,1419,348,481,830,3.3,2.6,3,61.7,51.5,56.6,59.7,50.1,54.9,20,30,50,4,27,35,92,146,239,77,118,195,310,172,481,23,36,53,10,23,38,341,233,573,1208,1187,2390,133,137,268,882,852,1730,394,405,799
LGA17900,2180,2101,4282,616,437,1060,159,334,492,68,60,123,71,47,120,909,870,1791,716,657,1376,8,5.3,6.7,41.9,41.6,41.7,38.5,39.4,39,9,20,33,11,28,34,92,221,316,121,150,269,375,211,584,25,45,79,36,45,80,436,299,735,1676,1557,3230,267,281,549,1227,1102,2331,599,631,1228
LGA17950,1022,1037,2056,498,273,779,59,202,268,31,32,65,32,20,52,621,537,1160,286,378,657,5.1,3.9,4.6,61.1,51.7,56.4,58,49.7,53.8,15,12,28,9,21,32,55,130,190,48,95,149,201,87,287,14,16,35,15,11,31,230,119,347,968,977,1943,127,135,262,723,715,1445,308,322,630
LGA18020,3804,3872,7669,1281,742,2023,361,783,1148,118,112,232,106,112,221,1868,1753,3619,1399,1565,2968,5.6,6.5,6.1,49.1,45.2,47.2,46.4,42.3,44.3,54,61,114,19,72,87,191,390,582,172,329,506,850,490,1340,42,100,144,45,94,137,934,682,1617,3438,3371,6812,480,523,1004,2583,2535,5115,1126,1180,2305
LGA18050,27726,30069,57794,13820,10900,24719,3973,6175,10154,1417,1935,3356,742,730,1472,19956,19743,39699,5939,8377,14317,3.7,3.7,3.7,72,65.7,68.7,69.3,63.2,66.1,3818,4042,7856,587,1000,1581,9465,11140,20609,2174,3123,5293,2760,1170,3928,112,209,319,378,530,904,3246,1910,5153,23827,25040,48863,7038,7770,14807,13628,14456,28085,15689,16882,32569
LGA18100,1561,1488,3050,596,285,874,145,370,513,45,51,96,45,29,73,824,730,1560,629,646,1270,5.1,4.2,4.7,52.9,49.3,51.1,50.2,47.2,48.7,10,31,41,9,38,39,94,167,261,85,150,239,375,203,579,15,33,49,38,29,66,433,260,693,1518,1431,2944,168,164,333,1172,1086,2262,448,451,894
LGA18200,3117,2912,6027,1307,690,1992,274,685,960,107,123,225,82,58,142,1770,1546,3317,918,1014,1938,4.6,3.8,4.2,56.8,53.2,55.1,54.2,51.2,52.7,29,46,75,23,59,78,163,348,515,179,292,476,753,358,1106,30,63,97,36,56,97,820,478,1303,2898,2702,5604,402,395,795,2009,1792,3801,1083,1097,2186
LGA18250,29110,32219,61331,13632,9841,23476,4089,6525,10618,1368,1856,3222,873,856,1731,19963,19074,39043,8136,11947,20085,4.4,4.5,4.4,68.6,59.2,63.7,65.6,56.5,60.8,5051,5185,10240,818,1192,2013,9745,10599,20344,2298,3355,5649,2024,1102,3132,116,220,334,421,638,1057,2557,1963,4522,28502,30790,59293,6424,6846,13270,17990,19646,37633,15178,16327,31508
LGA18350,20845,23064,43908,8309,4887,13201,3179,5783,8960,812,991,1807,386,346,733,12686,12011,24693,7034,9835,16869,3,2.9,3,60.9,52.1,56.2,59,50.6,54.6,1409,1382,2796,380,747,1133,3069,4205,7279,1826,2976,4797,5396,2543,7941,183,393,573,418,783,1199,5999,3714,9714,20011,21635,41646,3684,4031,7714,12900,13938,26844,9752,10665,20418
LGA18400,20938,21308,42243,9514,5539,15053,2817,5369,8186,1573,1717,3288,413,371,784,14320,12997,27316,5558,7250,12808,2.9,2.9,2.9,68.4,61,64.7,66.4,59.2,62.8,472,761,1232,174,448,624,1424,2756,4179,1491,2548,4035,7593,3270,10865,156,430,584,372,653,1024,8116,4357,12471,22523,22352,44878,2885,2976,5866,15482,15281,30764,8284,8538,16825
LGA18450,86252,90609,176857,33166,20054,53221,12006,21178,33183,5127,6492,11615,2830,2191,5023,53129,49914,103044,29108,36450,65557,5.3,4.4,4.9,61.6,55.1,58.3,58.3,52.7,55.4,5609,5907,11512,1339,2706,4049,12004,15779,27776,6980,9453,16438,22271,11230,33493,757,1496,2258,1366,2632,3997,24393,15362,39749,85563,88007,173573,14068,14760,28822,58779,60728,119508,35553,37022,72581
