UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL114013,127,104,226,262,233,495,99,90,190,38,39,74,403,362,769,135,86,216,65,95,158,36,28,65,232,206,438,4,5,12,4,15,18,34,22,58,32,74,103,0,0,0,75,123,200,12,17,27,5,13,18,5,12,18,12,82,93,0,0,0,33,116,157,114,243,352,3,9,13,0,26,25,0,0,0,4,30,41,395,397,790,1275,1334,2612
UCL114014,116,124,237,249,199,446,66,95,159,16,8,26,332,301,632,163,170,339,56,67,119,19,17,36,237,256,494,12,7,16,3,7,11,51,39,89,29,49,77,0,0,0,94,99,192,33,55,91,12,30,34,10,12,20,29,37,64,0,0,0,80,134,209,173,231,407,7,3,7,15,19,30,0,0,0,18,20,38,52,77,130,922,1015,1935
UCL114015,92,101,197,289,328,613,73,80,151,8,11,15,371,416,781,238,216,460,48,21,66,9,13,20,291,253,548,10,9,19,9,22,35,29,28,56,34,88,124,0,0,0,82,155,234,10,23,28,7,6,13,6,15,22,17,37,60,0,0,0,38,83,116,116,236,354,6,7,15,13,25,32,0,0,0,13,30,41,480,486,960,1366,1517,2884
UCL114016,71,72,143,236,227,459,78,67,146,4,8,14,320,299,621,127,125,257,166,175,344,8,9,13,305,313,618,4,11,15,3,20,25,33,33,69,21,75,98,0,0,0,64,132,199,15,18,29,9,16,18,10,10,20,15,32,52,0,0,0,44,80,120,111,211,324,5,8,13,5,11,20,0,0,0,16,22,34,282,291,576,1106,1204,2309
UCL114017,97,74,167,195,202,394,124,116,233,36,32,68,357,346,699,93,73,171,141,136,273,41,37,76,275,248,519,5,4,14,4,17,21,33,17,49,35,60,95,0,0,0,84,94,179,25,47,79,17,39,56,9,25,28,23,67,93,0,0,0,73,178,251,158,271,428,7,3,9,15,33,49,0,0,0,17,34,59,184,180,363,1088,1154,2239
UCL114018,65,42,110,168,180,347,46,57,101,7,18,31,218,257,479,114,74,190,105,94,203,9,13,26,229,182,412,12,13,19,5,8,21,21,20,40,35,46,85,0,0,0,77,89,163,9,29,33,0,18,20,0,11,11,17,43,64,0,0,0,28,105,129,102,193,292,4,3,9,8,12,26,0,3,3,14,21,31,202,229,432,834,932,1760
UCL114019,72,83,161,169,172,339,80,52,134,14,20,36,264,247,512,97,108,203,23,30,50,18,25,44,138,159,298,4,0,4,12,9,16,14,18,29,20,50,68,0,0,0,51,70,126,3,23,25,4,8,14,0,10,12,18,33,48,0,0,0,30,73,105,78,150,226,0,3,3,6,10,19,0,0,0,11,16,26,685,725,1405,1251,1379,2626
UCL114020,75,97,180,244,209,454,70,64,127,87,78,169,392,355,750,165,136,293,96,89,189,49,64,116,309,285,591,0,7,15,7,22,27,52,25,72,46,63,107,0,0,0,103,118,216,22,46,72,13,25,34,9,9,18,21,55,73,0,0,0,62,140,203,164,259,422,11,14,27,12,31,42,0,0,0,26,48,74,195,194,391,1170,1242,2410
UCL114021,91,79,171,218,209,430,112,128,240,73,82,149,403,420,822,189,175,362,76,102,175,66,61,125,335,333,661,21,17,41,10,28,40,40,24,58,33,63,96,0,0,0,97,131,234,20,54,74,10,40,48,8,13,18,29,76,106,0,0,0,66,177,246,165,310,476,9,11,17,19,24,47,0,0,0,24,40,62,343,426,768,1359,1608,2971
UCL114022,49,43,94,136,126,262,32,20,53,19,33,52,186,175,362,125,116,240,5,7,9,23,33,58,148,157,304,6,6,15,3,9,19,24,26,39,22,43,68,0,0,0,59,81,143,7,10,18,6,18,18,0,10,8,4,21,23,0,0,0,17,54,70,74,135,215,0,4,5,3,8,11,0,0,0,7,10,21,326,307,630,792,828,1618
UCL114023,62,47,109,163,182,343,73,48,121,3,4,9,239,237,485,128,129,257,9,8,19,3,0,7,137,144,284,3,7,15,5,10,16,33,19,51,27,36,61,0,0,0,67,68,137,5,13,19,4,13,13,0,10,12,14,29,43,0,0,0,24,66,88,97,135,228,4,11,9,3,17,19,0,0,0,12,24,36,250,226,477,800,811,1612
UCL114024,101,95,202,342,315,656,59,68,128,37,43,80,442,428,869,214,193,403,86,96,178,32,31,59,330,316,645,11,19,26,6,12,17,39,49,92,42,73,120,0,0,0,97,153,249,13,26,38,10,17,24,12,19,26,28,43,68,0,0,0,53,99,156,149,251,405,4,11,19,12,8,18,0,0,0,17,20,40,334,313,647,1382,1424,2806
UCL114025,104,89,193,270,242,509,140,136,277,16,12,24,424,387,809,137,173,309,84,70,158,26,28,54,252,277,528,9,7,14,3,15,23,24,19,46,17,49,64,0,0,4,51,88,146,18,41,57,12,41,59,6,3,8,26,56,89,0,3,0,71,142,214,123,233,357,0,10,12,10,19,30,0,0,0,10,33,46,184,199,380,1097,1219,2317
UCL114026,76,56,129,167,190,358,27,25,50,18,22,42,218,238,456,135,102,235,24,25,49,21,21,46,178,158,332,4,6,14,7,19,25,27,22,52,26,54,75,0,0,0,66,100,164,16,52,67,5,23,28,3,12,15,17,27,53,0,0,0,49,114,162,114,215,330,6,3,11,11,11,18,0,0,0,15,19,33,106,100,208,705,774,1484
UCL114027,25,41,63,130,128,257,7,4,14,15,23,38,152,153,309,95,96,190,13,17,30,36,33,73,153,146,295,4,3,9,3,9,8,18,13,27,28,32,56,0,0,0,50,61,107,21,28,46,9,12,15,0,9,8,15,27,35,0,0,0,37,70,108,90,124,212,0,4,4,5,10,13,0,0,0,5,13,17,125,177,300,542,656,1199
UCL114028,48,61,110,130,139,266,49,40,90,45,39,83,224,218,438,92,51,140,56,65,124,48,36,83,194,153,346,9,5,11,4,5,12,35,22,51,23,36,54,0,0,0,64,71,132,3,15,16,7,9,13,0,3,5,6,32,36,0,0,0,22,62,78,82,125,208,4,5,5,5,7,11,0,0,0,8,11,21,157,126,286,716,689,1407
UCL114029,88,79,172,206,164,366,44,60,105,27,27,52,276,247,526,67,69,138,98,107,204,34,26,63,204,208,413,5,10,15,3,0,11,52,16,75,18,25,38,0,0,0,81,52,132,21,36,52,5,9,13,3,16,21,11,20,28,0,0,0,40,80,113,119,130,250,4,0,4,5,11,15,0,0,0,9,11,18,83,85,170,781,761,1542
UCL114030,52,43,89,132,133,269,3,8,7,0,8,8,137,153,286,45,40,86,47,50,95,16,4,25,111,95,205,0,3,7,0,4,9,11,12,21,13,28,40,0,0,6,30,52,76,5,13,22,9,16,18,0,0,0,15,23,37,0,0,0,29,47,73,54,99,151,0,3,3,9,14,15,0,0,0,9,14,14,168,184,353,520,578,1103
UCL114031,84,71,151,190,215,401,40,39,83,12,0,12,242,259,505,134,135,266,42,66,107,9,5,13,184,202,386,5,7,8,10,6,11,38,17,57,18,57,68,0,0,0,69,83,151,18,38,52,4,16,19,8,8,14,18,29,44,0,4,4,44,90,130,110,172,289,7,4,8,12,14,22,0,0,0,18,11,34,165,159,321,802,877,1679
UCL114032,86,87,170,198,181,378,35,29,60,27,43,69,256,250,507,126,116,244,8,27,36,19,27,42,153,170,322,3,3,13,3,11,12,45,31,77,20,38,52,0,0,0,74,78,156,9,30,43,9,12,22,0,10,10,13,24,40,0,0,0,30,80,106,103,157,265,6,0,10,4,12,16,0,0,0,11,15,23,100,110,213,704,796,1502
UCL114033,70,92,160,217,211,430,58,54,108,0,3,4,280,264,543,161,172,327,28,30,62,3,4,5,191,200,395,14,4,13,5,13,12,28,20,50,21,53,70,0,0,0,61,90,147,6,22,25,0,6,6,0,7,5,11,44,56,0,0,0,24,77,99,83,167,250,4,5,5,6,26,35,0,0,0,10,37,44,213,222,434,845,976,1819
UCL114034,107,100,204,280,236,511,76,72,144,21,10,36,381,312,699,156,160,318,74,95,166,13,21,32,242,279,523,13,20,31,8,26,36,34,34,70,24,76,106,0,0,0,82,162,238,0,28,37,6,25,36,0,8,5,11,42,56,0,0,0,25,110,136,103,272,377,0,9,9,6,21,30,0,0,3,10,28,41,227,231,460,1067,1230,2295
UCL114035,52,35,89,154,143,297,47,36,82,6,8,15,213,190,397,113,108,213,25,26,52,5,8,16,145,137,287,13,16,27,12,17,29,21,17,35,28,46,71,0,0,0,71,93,164,19,21,37,8,13,21,0,7,11,9,36,41,0,0,0,32,75,113,109,174,281,8,13,15,4,15,22,0,0,0,16,24,41,175,172,345,705,730,1434
UCL114036,44,48,88,120,122,242,52,55,109,17,11,31,186,198,378,82,90,174,21,29,52,10,12,20,119,126,248,5,7,15,0,10,9,17,14,34,23,43,65,0,0,0,45,81,129,5,13,22,0,16,19,6,7,7,17,27,49,0,0,0,32,62,93,78,140,222,0,0,0,4,12,20,0,0,0,4,14,22,218,203,417,649,724,1370
UCL114037,66,58,133,197,196,391,81,60,145,3,10,10,283,266,545,144,146,298,29,25,57,11,11,17,184,180,366,4,7,11,5,12,11,35,18,59,25,49,68,0,0,0,75,81,147,5,23,32,8,11,18,5,5,12,26,48,76,0,0,0,47,93,137,114,167,284,10,7,12,8,19,24,0,0,0,9,29,40,163,125,290,824,829,1655
UCL114038,83,76,158,248,252,507,66,60,126,12,21,39,336,336,671,148,134,277,95,86,181,11,17,28,250,247,492,11,10,19,9,19,27,29,41,72,25,56,83,0,0,3,75,131,204,10,14,24,4,12,14,4,11,16,14,31,43,0,0,0,28,65,94,104,196,298,6,8,18,4,14,18,0,0,0,12,20,33,242,259,495,1018,1133,2150
UCL115001,16,23,41,69,59,126,12,12,23,4,3,7,84,78,156,29,34,63,40,38,73,0,0,0,67,72,136,8,0,5,0,6,4,14,15,26,9,16,24,0,0,0,31,34,60,0,5,5,0,3,3,0,3,5,0,7,5,0,0,0,0,20,23,29,51,83,0,0,0,0,11,8,0,0,0,0,14,15,47,46,92,241,283,526
UCL115002,51,35,89,152,144,291,16,7,27,19,31,50,186,182,364,120,86,201,19,16,37,27,34,61,165,136,296,6,3,11,6,0,10,35,12,48,18,35,54,0,0,0,61,56,123,19,35,55,4,15,19,3,5,10,9,26,37,0,0,0,35,82,117,99,142,246,0,5,5,3,9,9,0,0,0,3,15,16,98,90,186,607,602,1208
UCL115003,71,60,127,177,132,308,24,20,44,6,11,16,204,165,370,37,56,98,51,56,102,3,0,0,89,109,200,0,4,9,0,4,4,28,7,36,12,21,35,0,0,0,46,37,78,18,28,47,4,3,5,0,0,0,12,15,32,0,0,0,37,43,83,79,83,159,4,5,6,5,6,8,0,0,0,6,5,17,39,42,83,496,460,953
UCL115004,24,17,42,54,46,98,9,6,14,3,5,8,64,50,114,36,36,70,4,0,8,4,0,7,44,41,85,0,0,0,4,0,8,7,4,15,4,19,19,0,0,0,16,25,42,4,7,8,4,6,7,0,0,0,3,10,14,0,0,0,12,26,38,27,51,70,0,3,3,3,0,0,0,0,0,3,5,10,49,47,94,216,210,420
UCL115005,9,3,16,20,14,37,19,25,39,0,0,0,36,37,75,27,20,40,3,8,13,0,0,0,36,30,62,0,0,0,0,0,0,5,0,8,0,4,5,0,0,0,7,8,13,0,6,6,0,0,5,0,0,0,0,3,7,0,0,0,6,15,19,6,19,28,0,0,0,0,0,0,0,0,0,0,0,5,65,73,140,153,169,322
UCL115006,43,40,85,70,80,148,10,14,25,23,22,42,100,112,217,33,40,79,11,29,42,22,12,35,63,87,150,0,6,6,4,7,10,7,6,9,8,21,27,0,0,0,13,29,47,0,11,7,4,10,17,4,0,8,12,25,40,0,0,0,26,42,70,39,72,111,0,4,4,5,13,13,0,0,0,5,18,23,85,82,165,339,418,753
UCL115007,34,34,73,119,100,221,23,16,42,27,35,58,169,151,324,77,72,154,14,14,23,25,41,66,117,126,239,4,6,9,3,11,9,18,4,22,6,17,24,0,0,0,34,36,71,11,16,26,4,10,15,7,0,9,4,10,17,0,0,0,30,41,69,65,71,136,0,3,4,0,9,8,0,0,0,4,10,16,68,60,135,456,461,917
UCL115008,3,9,15,31,22,53,0,0,4,0,0,0,32,23,55,22,19,41,0,0,0,0,0,0,22,21,47,3,0,3,0,4,3,4,0,4,5,0,3,0,0,0,12,5,16,3,9,7,0,0,0,0,0,0,0,5,10,0,0,0,8,13,24,14,23,33,0,0,0,0,4,4,0,0,0,0,4,4,37,41,77,110,125,233
UCL115009,13,22,35,24,42,66,15,22,40,13,13,24,56,74,133,38,33,64,16,13,28,15,10,20,71,48,117,0,0,4,0,5,4,11,6,11,7,7,15,0,0,0,20,17,35,0,12,12,3,7,4,3,0,6,5,11,9,0,0,0,9,26,31,25,49,71,0,0,0,0,4,5,0,0,0,0,4,5,41,60,109,208,255,469
UCL115010,9,11,17,19,22,42,7,8,9,0,0,0,22,25,52,20,8,31,0,0,6,0,0,3,22,13,35,0,0,0,0,4,3,0,6,3,0,9,8,0,0,0,0,13,19,0,0,4,0,3,3,0,0,0,3,0,6,0,0,0,6,8,16,9,22,31,0,0,0,0,0,0,0,0,0,0,0,0,48,48,96,113,118,228
UCL115011,15,14,25,64,43,113,0,0,4,5,8,6,69,50,125,34,43,74,15,15,32,0,3,8,51,59,110,3,5,8,0,3,3,3,3,10,6,6,9,0,0,0,16,14,30,3,0,5,0,7,7,0,0,0,4,9,14,0,0,0,6,18,19,23,26,50,0,0,0,0,7,0,0,0,0,0,7,0,40,42,81,195,197,397
UCL115012,5,3,9,24,20,41,12,15,26,0,0,0,37,30,66,30,17,48,4,6,11,0,0,0,31,23,54,0,0,0,0,0,0,4,4,6,0,7,5,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,6,7,13,21,0,0,0,0,0,4,0,0,0,0,3,4,53,38,93,136,117,251
UCL115013,34,46,79,107,89,197,45,43,85,39,36,76,192,171,360,102,94,192,19,11,29,16,10,29,136,115,247,4,4,9,5,12,12,12,9,26,19,41,57,0,0,0,34,66,99,7,9,16,12,21,28,3,4,7,10,19,34,0,0,0,26,58,79,65,121,185,5,10,9,0,11,17,0,0,0,9,14,23,183,223,402,611,691,1306
UCL115014,24,27,53,75,99,171,35,24,60,43,22,62,152,147,299,113,113,225,0,11,13,22,20,42,137,145,277,7,5,12,7,9,9,12,11,16,17,29,39,0,0,0,32,53,85,3,4,12,8,18,23,0,3,3,16,41,61,0,0,0,19,70,92,55,121,183,0,0,6,4,12,19,0,0,0,11,16,29,120,140,264,501,603,1100
UCL115015,10,18,30,43,46,94,0,0,0,0,0,4,48,50,95,39,25,63,0,0,0,7,4,12,50,27,78,0,3,5,0,3,8,3,6,12,5,14,21,0,0,0,14,26,43,0,0,5,0,0,0,0,3,3,3,11,16,0,0,0,6,15,19,24,34,64,0,0,0,0,5,6,0,0,0,0,3,10,74,81,153,201,216,424
UCL115016,6,12,21,22,24,48,4,0,13,9,5,16,35,36,73,19,23,44,6,0,6,0,0,3,27,26,56,0,0,0,0,4,4,4,0,5,11,17,28,0,0,0,14,15,32,0,4,0,0,3,8,0,4,4,0,3,7,0,0,0,8,16,22,24,33,54,0,0,0,0,5,5,0,0,0,0,8,8,42,44,90,141,159,302
UCL115017,28,20,50,63,80,139,0,6,4,20,14,34,83,91,180,21,17,32,13,10,21,30,30,63,61,58,116,0,0,0,4,4,9,5,0,6,9,11,14,0,0,0,16,22,40,11,6,16,6,7,13,0,0,4,6,16,22,0,0,0,21,33,52,39,48,92,0,0,0,5,10,11,0,0,0,5,13,10,53,61,113,266,298,562
UCL115018,5,9,16,21,29,54,0,0,0,0,0,0,21,32,51,12,22,40,0,0,0,0,3,3,14,25,42,0,0,0,0,0,0,3,6,5,6,11,19,0,0,0,8,11,26,0,3,0,0,0,0,0,4,4,6,6,3,0,0,0,3,9,13,7,22,32,0,0,0,4,3,3,0,0,0,4,3,7,44,29,75,96,119,217
UCL115019,33,36,73,133,120,254,8,0,7,14,11,27,156,135,291,73,65,139,9,8,17,36,36,67,117,111,223,7,12,16,8,6,15,9,9,13,13,38,54,0,0,0,39,63,97,11,11,19,11,25,34,4,4,9,21,57,79,0,0,0,49,91,137,84,157,242,0,4,5,4,16,21,0,0,0,8,21,29,118,139,255,517,594,1113
UCL115020,41,38,79,106,112,213,26,21,49,0,5,8,136,138,270,95,78,173,7,8,16,7,6,13,104,96,203,4,7,13,5,11,11,15,22,33,11,23,41,0,0,0,34,60,97,0,19,20,0,6,4,4,3,4,7,32,39,0,0,0,14,59,69,47,120,166,0,0,6,11,4,16,0,0,0,8,7,16,49,48,100,385,451,833
UCL115021,11,9,18,38,32,63,17,13,27,0,0,0,52,41,94,27,26,57,0,0,0,0,0,0,30,26,59,3,0,7,0,0,0,0,4,5,0,5,9,0,0,0,9,12,19,0,0,0,0,4,3,0,3,3,4,3,10,0,0,0,10,10,21,16,26,36,0,0,0,0,0,5,0,0,0,4,0,4,46,49,96,165,149,317
UCL115022,26,19,46,75,96,171,21,20,38,6,8,12,102,121,215,42,45,92,46,40,81,5,11,15,90,95,185,6,3,10,3,14,15,19,9,34,10,24,36,0,0,0,41,49,90,15,21,39,6,13,15,0,0,5,18,15,34,0,0,0,40,53,89,76,105,183,0,0,4,3,13,14,0,0,0,3,14,16,35,37,76,329,387,716
UCL115023,12,12,28,42,24,66,17,11,32,0,3,3,63,35,99,25,19,44,13,9,19,0,3,3,38,28,61,0,0,3,4,3,5,5,7,7,3,12,16,0,0,0,12,18,35,0,3,3,0,0,3,0,0,0,0,7,9,0,0,0,5,16,18,16,33,51,0,0,3,0,5,5,0,0,0,0,3,6,102,76,181,230,195,426
UCL115024,27,10,33,36,26,61,24,40,63,0,0,8,65,69,133,23,22,51,5,12,19,0,0,0,30,34,69,5,0,5,0,0,4,5,0,4,4,12,14,0,0,0,8,18,28,4,6,9,0,0,3,0,0,0,0,13,13,0,0,0,6,19,29,19,32,53,3,0,0,0,4,4,0,0,0,3,6,4,134,146,280,271,297,570
UCL115025,21,22,42,68,54,124,4,7,11,6,10,12,73,74,150,43,43,82,5,4,15,14,8,19,55,57,112,0,3,5,0,0,0,20,5,30,5,8,9,0,0,0,23,18,40,3,18,23,0,6,9,3,8,9,3,16,18,0,0,0,16,48,59,42,65,108,0,3,6,0,0,3,0,0,0,5,8,12,31,29,55,227,254,479
UCL115026,21,11,27,29,21,53,34,21,51,0,0,0,67,41,109,30,26,53,9,0,13,0,0,0,33,33,68,4,0,4,5,4,8,0,9,11,6,5,13,0,0,0,13,20,34,0,0,4,0,3,3,0,0,0,5,10,20,0,0,0,9,19,28,21,30,61,5,0,5,0,3,6,0,0,0,10,3,11,61,75,140,213,198,414
UCL115027,54,44,90,71,92,165,57,67,129,12,13,23,140,174,318,59,43,106,35,28,60,14,20,26,104,90,196,4,9,11,6,9,13,24,10,36,9,35,50,0,0,0,38,62,101,10,18,21,0,12,10,4,6,9,3,32,33,0,0,0,17,58,80,60,123,183,6,0,4,3,4,10,0,0,0,13,5,18,67,68,134,436,494,931
UCL115028,15,16,31,72,55,122,0,14,12,14,23,32,91,85,173,31,32,69,24,34,63,21,28,49,78,99,178,4,0,4,3,0,3,15,5,17,14,13,22,0,0,0,36,23,53,12,12,23,3,10,13,0,0,4,4,27,27,0,0,0,20,45,70,53,67,123,0,0,0,0,6,11,0,0,0,0,8,12,59,84,135,294,364,655
UCL115029,11,18,27,37,32,63,3,5,6,10,7,17,46,40,90,22,17,38,0,5,7,12,15,28,44,34,76,0,3,3,0,12,11,3,4,4,14,10,19,0,0,0,17,26,42,0,7,8,5,8,9,6,4,4,0,15,17,0,0,0,10,33,43,21,58,84,3,6,8,4,5,11,0,0,0,5,8,20,71,55,130,199,220,423
UCL115030,4,10,18,41,44,81,3,5,4,0,3,3,45,48,95,28,30,62,0,0,0,0,0,0,25,30,59,0,0,0,0,0,0,5,0,4,0,5,3,0,0,0,4,7,14,0,8,3,0,3,3,0,0,0,0,3,7,0,0,0,3,11,14,9,17,32,0,0,0,0,0,0,0,0,0,6,0,6,35,43,81,132,153,285
UCL115031,29,18,44,64,55,122,0,7,11,3,0,5,77,68,140,44,44,82,20,11,28,3,9,20,66,64,126,4,0,6,4,3,5,15,4,22,11,12,20,0,0,0,31,22,55,5,9,14,0,6,6,0,3,5,7,29,33,0,0,0,16,41,53,40,64,112,0,0,0,0,11,14,0,0,0,0,7,12,53,67,119,266,287,555
UCL115032,26,17,42,82,82,165,8,9,13,0,0,6,95,93,186,53,63,113,6,8,8,0,3,4,56,71,131,3,7,7,6,0,4,13,6,15,5,15,20,0,0,0,23,27,50,14,19,32,4,4,9,0,0,5,6,8,13,0,0,0,27,31,57,51,54,106,5,0,4,3,12,12,0,0,0,9,11,18,58,39,94,290,281,570
UCL115033,50,64,113,184,178,362,26,25,55,11,16,27,229,217,443,86,55,145,50,53,100,18,12,34,156,121,278,3,0,12,3,5,7,28,6,38,22,38,63,0,0,0,62,60,118,9,23,32,3,11,19,3,10,11,27,61,85,0,0,0,46,105,151,106,164,272,3,6,8,8,18,29,0,0,0,16,20,39,63,67,130,618,653,1273
UCL115034,39,20,52,64,77,131,5,5,14,3,3,12,75,87,163,45,47,98,4,3,10,10,14,22,61,66,129,0,7,7,0,5,8,17,11,26,3,15,19,0,0,0,22,35,55,7,12,15,0,4,10,0,4,4,0,4,8,0,0,0,12,25,39,32,62,97,4,4,8,0,5,5,0,0,0,3,7,12,42,34,75,249,278,531
UCL115035,61,54,116,125,101,225,41,34,76,56,51,104,224,183,406,71,50,122,26,45,70,41,54,97,136,158,294,3,7,6,5,8,22,15,22,32,16,35,51,0,0,0,37,68,107,4,16,18,6,11,13,0,12,14,16,45,65,0,0,0,25,78,109,69,152,214,6,6,7,6,12,18,0,0,0,8,11,25,89,92,184,587,650,1241
UCL115036,30,27,56,80,62,145,11,14,28,4,9,11,100,78,181,48,46,92,27,26,51,15,20,30,90,92,182,5,0,4,0,8,8,9,7,16,6,16,27,0,0,0,25,35,60,9,10,21,3,12,13,0,4,4,7,23,30,0,0,0,20,48,67,45,80,129,8,3,10,0,11,14,0,0,0,8,18,29,58,63,124,338,357,692
UCL115037,16,7,33,35,43,86,0,6,6,8,10,17,44,59,103,23,22,45,13,14,25,20,29,48,57,58,115,0,0,3,0,0,6,9,0,11,9,8,13,0,0,0,22,13,39,6,7,19,5,3,4,0,3,3,4,10,15,0,0,0,21,30,45,44,44,79,0,0,0,0,0,4,0,0,0,0,0,4,25,19,47,189,192,386
UCL115038,11,14,19,37,55,92,13,8,17,0,0,0,48,59,114,32,26,58,4,5,7,0,0,0,35,28,62,0,0,3,0,4,4,0,6,9,6,10,16,0,0,0,8,16,31,0,0,4,0,0,3,0,0,0,5,4,11,0,0,0,4,8,16,17,27,49,0,0,0,0,3,7,0,0,0,0,3,6,70,81,147,185,216,397
UCL115039,31,24,54,69,86,157,41,57,104,3,0,5,118,147,266,85,75,163,0,7,3,4,3,9,88,82,173,4,0,4,0,6,4,12,7,20,16,30,48,0,0,0,40,46,85,6,9,16,0,0,3,0,3,3,10,21,33,0,0,0,18,44,60,58,91,142,0,0,0,0,5,5,0,0,0,0,5,8,275,269,544,566,615,1182
UCL115040,18,23,35,55,42,101,13,3,14,18,10,26,80,57,138,28,29,62,5,11,17,16,8,28,45,56,105,3,3,11,0,0,3,15,3,25,8,12,26,0,0,0,28,31,55,9,10,16,0,4,4,3,3,5,3,6,5,0,0,0,21,16,38,47,50,96,0,0,3,0,0,4,0,0,0,4,0,4,21,18,39,217,207,419
UCL115041,21,22,45,90,67,160,24,17,40,5,7,5,119,89,204,55,67,118,4,5,13,11,10,18,64,78,146,0,4,5,0,3,3,12,11,21,10,24,30,0,0,0,18,37,58,0,3,0,0,0,5,5,0,4,5,10,12,0,0,0,7,21,24,23,60,83,5,0,5,0,4,3,0,0,0,4,4,9,156,177,330,395,430,824
UCL115042,26,18,49,46,69,113,19,23,47,3,0,4,76,91,164,32,42,73,13,9,18,9,13,19,51,65,117,0,0,6,0,3,3,6,5,12,7,6,10,0,0,0,16,15,27,3,6,8,0,3,9,0,0,0,3,10,16,0,0,0,5,26,33,25,36,60,0,0,0,4,3,9,0,0,0,7,3,8,49,42,89,227,267,492
UCL115043,14,22,37,61,40,101,11,33,47,0,0,0,75,72,145,66,49,116,0,0,0,0,0,0,66,52,118,0,3,6,0,8,7,4,0,3,10,16,27,0,0,0,16,31,52,0,3,4,4,3,5,0,0,0,6,8,13,0,0,0,10,14,25,23,50,77,6,0,3,8,7,14,0,0,0,11,8,13,181,218,408,377,421,795
UCL115044,28,17,45,69,47,119,38,28,62,0,0,0,104,75,183,60,46,110,0,5,3,0,3,3,60,58,119,0,3,3,0,3,3,0,0,0,0,11,13,0,0,0,0,22,23,0,6,8,0,6,5,0,0,0,0,16,17,0,0,0,3,23,32,6,47,60,0,0,0,0,0,4,0,0,0,4,0,0,144,186,332,352,387,739
UCL115045,4,0,6,25,15,43,18,14,32,0,0,3,43,31,75,27,25,46,4,14,19,0,0,0,31,34,66,0,0,0,3,0,4,3,5,4,0,8,7,0,0,0,5,12,15,0,0,0,0,0,3,0,4,4,0,3,3,0,0,0,0,7,9,9,20,25,0,0,0,0,0,0,0,0,0,0,0,0,74,97,167,158,190,348
