UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL115054,324,987,12,29,0,3,10,31,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,339,1034,22,..,356,1034
UCL115055,858,1937,46,72,0,0,46,72,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,5,11,5,11,6,7,922,2032,92,..,1014,2032
UCL115056,1034,2402,119,172,44,72,169,248,40,68,7,12,0,0,0,0,0,0,49,76,3,6,35,57,0,0,0,0,38,61,8,28,1297,2812,242,..,1538,2812
UCL115057,686,1679,250,399,175,341,428,738,81,128,3,8,0,0,0,3,5,9,90,138,14,23,30,53,0,0,7,14,50,88,4,7,1251,2655,279,..,1534,2655
UCL115058,362,845,236,394,91,190,320,584,3,6,4,3,0,0,0,0,0,0,7,14,0,0,7,31,0,0,0,0,10,31,0,0,703,1479,416,..,1114,1479
UCL115059,671,1415,69,95,0,0,69,95,8,7,0,0,0,0,0,0,0,0,8,7,0,3,0,0,0,0,0,6,4,9,12,15,754,1540,62,..,817,1540
UCL115060,666,1939,0,10,0,0,0,10,66,87,0,0,0,0,0,0,0,0,66,87,6,11,3,8,0,0,0,0,10,18,0,0,745,2059,58,..,803,2059
UCL115061,402,988,13,27,0,0,13,27,13,19,0,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,427,1037,34,..,456,1037
UCL115062,453,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,1287,14,..,462,1287
UCL115063,360,1057,0,0,22,43,22,43,23,42,0,0,0,0,0,0,4,8,27,55,0,0,0,0,0,0,0,0,0,0,0,3,415,1157,13,..,426,1157
UCL115064,1292,3575,130,217,116,235,250,453,43,59,37,60,0,0,0,0,3,4,81,119,0,4,0,0,0,0,5,8,7,9,4,13,1635,4179,403,..,2036,4179
UCL115065,852,1935,35,54,0,0,35,54,47,70,0,0,0,0,0,0,0,0,47,70,4,5,0,0,0,0,0,0,9,13,0,3,947,2070,162,..,1110,2070
UCL115066,825,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,827,2460,35,..,861,2460
UCL115067,972,2131,74,94,0,4,75,93,29,40,0,0,0,0,0,0,0,0,29,40,8,7,0,0,0,0,14,31,17,36,3,7,1103,2314,115,..,1214,2314
UCL115068,494,1081,23,35,0,0,23,35,8,4,0,0,0,0,0,0,0,0,5,8,6,5,23,29,0,0,3,4,28,39,11,14,557,1177,180,..,737,1177
UCL115069,827,1710,33,46,0,0,35,51,46,59,0,0,0,0,0,0,0,0,46,59,3,0,0,0,0,0,3,11,8,17,0,0,912,1833,138,..,1055,1833
UCL115070,1076,2997,41,77,3,3,42,82,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,3,0,0,0,3,9,13,1124,3100,85,..,1208,3100
UCL115071,742,1789,21,38,0,0,21,38,22,30,0,0,0,0,0,0,0,0,22,30,0,0,4,4,0,0,9,8,12,13,3,6,800,1873,83,..,884,1873
UCL115072,655,1783,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4,12,0,0,662,1797,27,..,686,1797
UCL115073,667,1551,4,4,3,3,6,12,69,108,0,0,0,0,0,0,0,0,69,114,0,0,0,4,0,0,7,27,10,31,4,5,758,1710,107,..,865,1710
UCL115074,696,1618,18,34,0,0,18,34,16,22,0,0,0,0,0,0,0,0,16,22,0,0,17,24,0,0,0,3,21,20,0,0,746,1702,119,..,868,1702
UCL115075,443,952,27,51,6,10,31,69,20,21,0,0,0,0,0,0,0,0,18,24,0,0,7,7,0,0,0,4,7,15,0,0,510,1054,152,..,661,1054
UCL115076,708,1571,19,33,0,0,19,33,14,18,0,0,0,0,0,0,0,3,13,17,3,4,13,15,0,0,10,10,20,34,0,0,764,1659,142,..,916,1659
UCL115077,1273,2633,51,78,73,133,120,216,66,103,8,8,0,0,0,0,0,0,74,109,30,43,11,14,0,0,9,15,51,71,0,0,1517,3035,288,..,1812,3035
UCL115078,452,942,22,38,82,154,105,191,21,40,9,10,10,17,0,0,0,0,44,69,4,0,0,0,0,0,0,0,4,0,10,9,609,1219,728,..,1339,1219
UCL115079,813,1724,75,112,0,0,75,112,12,19,0,0,0,0,0,0,0,0,12,19,0,3,0,0,0,0,3,3,3,7,4,8,899,1877,177,..,1078,1877
UCL115080,798,2188,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,9,4,10,0,0,0,0,0,3,0,0,0,4,0,0,802,2198,41,..,842,2198
UCL115081,369,840,0,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,23,47,0,4,7,9,3,8,0,5,15,24,7,19,409,935,57,..,469,935
UCL115082,493,1015,28,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,9,529,1056,78,..,611,1056
UCL115083,1005,2342,60,95,0,0,60,95,3,5,0,0,0,0,0,0,0,0,3,5,3,6,6,9,0,0,5,7,13,18,0,0,1080,2465,85,..,1164,2465
UCL115084,613,1268,83,135,39,67,126,201,35,51,0,0,0,0,0,0,0,5,37,56,0,3,68,110,0,0,3,3,73,110,3,4,852,1634,305,..,1157,1634
UCL115085,409,1092,5,17,17,40,20,56,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,3,6,8,439,1161,24,..,464,1161
UCL115086,370,1124,18,57,107,325,126,384,280,697,33,89,0,0,0,0,0,3,317,784,0,0,0,0,0,0,0,10,0,10,11,26,825,2324,519,..,1342,2324
UCL115087,423,1215,16,28,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,1244,35,..,471,1244
UCL115088,562,1396,21,33,5,9,23,42,7,13,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,5,0,5,0,0,595,1455,19,..,615,1455
UCL115089,1430,3544,23,33,3,13,31,47,58,68,3,11,0,0,0,0,0,0,64,72,0,0,5,19,4,3,6,11,14,31,5,17,1547,3704,167,..,1713,3704
UCL115090,544,1028,18,18,0,0,18,18,11,12,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,5,4,5,4,0,0,575,1070,101,..,675,1070
UCL115091,522,1218,6,11,14,34,20,46,7,7,0,0,0,0,0,0,0,0,7,7,17,22,4,9,0,0,0,0,20,27,0,3,572,1305,55,..,627,1305
UCL115092,639,1576,28,51,0,0,28,51,31,36,0,0,0,0,0,0,4,6,33,38,0,0,0,0,0,0,0,3,0,3,0,5,697,1666,49,..,753,1666
UCL115093,406,1062,12,16,0,0,12,16,11,12,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,13,0,13,0,0,434,1105,20,..,460,1105
UCL115094,1031,2347,6,6,3,6,3,10,80,105,3,10,0,0,0,0,0,5,86,116,8,11,0,0,4,8,14,21,20,34,0,0,1147,2511,104,..,1252,2511
UCL115095,380,913,0,3,0,0,0,3,44,62,0,0,0,0,0,0,0,0,44,62,0,4,0,0,0,0,0,0,0,4,7,16,426,992,66,..,496,992
UCL115096,1482,3639,63,96,29,63,92,159,60,81,0,0,0,0,0,0,0,6,61,91,0,0,0,0,0,0,0,5,0,5,0,6,1636,3891,157,..,1791,3891
UCL115097,967,2219,53,87,54,106,101,197,9,20,0,4,0,0,0,0,4,7,15,33,0,4,9,23,0,0,3,10,18,35,0,0,1101,2487,163,..,1269,2487
UCL115098,351,846,31,34,0,0,31,34,13,16,0,0,0,0,0,0,0,0,13,16,11,25,0,0,7,11,6,27,29,60,46,78,470,1040,133,..,597,1040
UCL115099,1086,2620,52,83,10,10,60,93,19,30,3,3,0,0,0,0,4,3,25,43,0,0,0,0,0,0,15,19,15,19,3,8,1188,2783,87,..,1277,2783
UCL115100,962,2149,44,55,32,71,79,124,24,36,0,0,0,0,0,0,18,23,42,63,0,0,15,14,0,0,7,9,15,26,4,15,1103,2377,106,..,1206,2377
UCL115101,934,2133,4,5,4,14,10,20,16,21,0,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,963,2177,644,..,1606,2177
UCL115102,778,1750,38,46,0,0,38,46,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,11,5,14,0,0,823,1807,126,..,948,1807
UCL115103,367,860,20,39,0,0,20,39,4,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,4,4,4,0,0,393,905,72,..,465,905
UCL115104,525,1280,18,28,4,13,25,43,19,17,0,0,0,0,0,0,0,0,16,19,0,0,0,0,0,0,0,0,4,4,0,0,570,1336,59,..,632,1336
UCL115105,537,1276,22,34,9,9,27,43,29,30,0,5,0,0,0,0,0,0,25,34,4,3,0,0,0,0,29,82,32,89,0,4,628,1448,70,..,697,1448
UCL115106,957,2198,98,155,21,32,121,188,14,21,0,0,0,0,0,0,0,0,14,16,9,17,3,10,0,0,0,3,19,31,5,6,1119,2437,137,..,1257,2437
UCL115107,1199,3010,40,61,20,31,57,91,49,80,4,6,0,0,0,0,30,70,84,152,3,4,0,0,0,3,0,0,7,13,3,3,1354,3268,109,..,1458,3268
UCL115108,658,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,2049,19,..,684,2049
UCL115109,1129,2510,132,196,78,113,208,311,72,105,33,51,8,14,0,0,3,3,112,173,3,13,76,92,0,0,0,11,81,124,8,8,1539,3126,516,..,2053,3126
UCL115110,1369,3112,34,59,6,0,38,61,52,74,6,0,0,0,0,0,0,0,51,72,0,3,0,0,0,0,15,21,14,27,3,12,1478,3286,209,..,1685,3286
UCL115111,1161,2839,81,108,0,4,80,109,21,28,0,0,0,0,0,0,0,0,21,28,0,0,0,0,0,0,3,12,3,11,6,11,1275,3000,164,..,1440,3000
UCL115112,754,2148,15,40,0,0,22,40,7,10,0,0,0,0,0,0,3,3,8,16,0,0,0,0,0,0,0,0,0,0,4,4,789,2213,47,..,832,2213
UCL115113,640,1556,51,69,5,5,47,71,6,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,6,3,6,9,32,711,1668,192,..,901,1668
UCL115114,882,2036,78,116,0,3,76,121,10,18,11,18,0,0,0,0,0,0,26,38,3,6,0,0,0,0,0,0,10,9,0,3,994,2200,116,..,1113,2200
UCL115115,1525,3801,56,142,119,232,170,367,83,139,38,59,0,0,0,9,27,39,149,249,0,0,0,0,0,4,0,0,0,4,6,3,1855,4419,199,..,2052,4419
UCL115116,1515,3606,276,477,24,44,304,525,56,108,0,10,0,0,0,0,0,5,64,118,0,0,3,0,0,0,4,6,6,13,3,12,1890,4262,182,..,2078,4262
UCL115117,407,994,327,522,0,0,327,522,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,739,1524,126,..,858,1524
UCL115118,496,1167,82,133,47,72,123,207,17,30,0,0,0,0,0,0,0,4,17,36,0,0,9,12,0,0,0,0,13,13,0,4,654,1429,212,..,859,1429
UCL115119,1225,3446,61,80,32,67,88,145,52,70,4,9,0,0,0,0,4,7,63,85,0,0,0,0,0,0,25,31,25,31,0,3,1406,3710,107,..,1517,3710
UCL115120,991,3201,3,3,0,4,6,7,13,34,0,0,0,0,0,0,11,21,20,55,7,15,0,0,0,0,0,0,7,15,0,0,1024,3281,31,..,1056,3281
UCL115121,737,1640,6,14,0,0,6,14,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,10,12,10,12,0,0,754,1669,109,..,864,1669
UCL115122,920,2098,55,67,0,3,52,66,25,41,0,0,0,0,0,0,0,0,25,41,0,0,0,0,0,0,3,11,0,11,4,12,1007,2230,139,..,1148,2230
UCL115123,525,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,10,0,0,531,1394,66,..,596,1394
UCL115124,1522,4097,14,28,31,69,48,100,10,19,0,0,0,0,0,0,6,12,13,30,7,7,0,0,0,0,0,0,7,7,7,12,1599,4251,115,..,1719,4251
UCL115125,983,2333,162,257,38,66,205,322,9,25,0,0,0,0,0,0,8,13,16,38,15,22,185,271,0,0,7,15,206,305,52,70,1462,3065,275,..,1730,3065
UCL115126,367,882,24,55,24,54,54,114,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,4,8,0,0,422,998,18,..,437,998
UCL115127,514,1200,0,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1204,289,..,807,1204
UCL115128,715,1852,26,61,26,61,46,119,22,46,0,0,0,0,0,0,10,16,37,58,0,0,0,0,0,0,0,0,0,0,0,0,799,2034,119,..,915,2034
UCL115129,502,1502,0,0,35,56,35,56,8,28,13,11,0,0,0,0,6,4,23,42,0,0,0,0,0,0,0,3,0,3,0,6,567,1606,60,..,630,1606
UCL115130,1392,2902,94,143,43,69,132,215,11,15,0,0,0,0,0,0,5,4,17,22,19,25,50,83,0,0,0,4,67,109,65,78,1674,3321,834,..,2511,3321
UCL115131,1546,3756,94,154,14,32,107,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,6,0,5,1658,3952,133,..,1793,3952
UCL115132,542,1175,61,82,66,100,123,180,30,46,3,4,0,0,0,0,0,0,32,52,0,7,4,11,0,0,0,0,10,14,3,8,712,1426,212,..,917,1426
UCL115133,1271,2448,56,93,44,93,104,184,16,27,10,9,0,0,0,0,0,0,21,37,0,0,0,0,0,0,11,15,11,15,0,0,1405,2680,262,..,1661,2680
UCL115134,1512,3445,124,166,5,11,135,176,13,13,0,0,0,0,0,0,0,0,13,13,6,3,0,0,0,0,25,39,30,47,5,9,1694,3686,238,..,1929,3686
UCL115135,1163,2397,20,36,0,0,20,36,62,91,0,0,0,0,0,0,0,0,62,91,4,14,0,0,0,4,11,12,16,23,5,7,1275,2556,212,..,1484,2556
UCL115136,676,2064,12,23,11,27,25,49,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,699,2118,19,..,723,2118
UCL115137,1346,3654,159,227,0,7,160,229,5,7,0,0,0,0,0,0,5,11,6,18,0,0,0,0,0,0,0,0,0,0,0,0,1511,3903,92,..,1609,3903
UCL115138,647,1852,61,133,3,20,67,154,0,0,0,0,0,0,0,0,10,34,10,34,0,0,0,0,0,0,0,0,0,0,6,9,726,2046,40,..,762,2046
UCL115139,893,1984,66,107,0,0,66,107,9,10,0,0,0,0,0,0,0,0,11,18,8,43,0,0,0,0,3,10,14,48,5,9,997,2170,165,..,1159,2170
UCL115140,406,958,9,21,7,17,17,33,17,26,0,0,0,0,0,0,0,0,14,26,32,61,32,49,0,0,0,4,69,108,5,11,513,1137,246,..,753,1137
UCL115141,579,1332,18,26,0,0,21,33,0,4,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,5,3,5,0,0,605,1374,104,..,710,1374
UCL115142,1033,2057,13,25,21,30,38,59,10,8,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,5,0,5,0,0,1083,2121,599,..,1683,2121
UCL115143,886,2075,52,80,0,0,52,80,16,20,0,0,0,0,0,0,0,0,16,20,8,7,5,8,0,0,11,29,20,41,0,0,988,2215,136,..,1125,2215
UCL115144,962,2135,31,38,24,39,49,84,131,187,0,0,0,0,0,0,0,3,135,183,16,27,14,23,0,0,0,0,33,55,10,13,1184,2471,120,..,1304,2471
UCL115145,589,1261,19,51,16,29,37,80,0,0,0,0,0,0,0,0,0,4,6,6,3,9,0,3,0,0,0,0,4,8,4,8,635,1362,68,..,702,1362
UCL115146,1029,2300,27,37,28,47,57,84,72,124,0,0,0,0,0,0,3,12,76,129,0,0,0,0,0,0,0,0,0,0,0,0,1157,2511,918,..,2080,2511
UCL115147,425,1077,8,7,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,1093,43,..,471,1093
UCL115148,545,1135,0,3,5,0,0,4,39,45,0,0,0,0,0,0,0,0,39,45,0,0,9,11,0,0,0,0,9,11,0,0,598,1198,133,..,732,1198
UCL115149,264,663,14,24,0,0,14,24,14,16,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,6,9,293,719,70,..,361,719
UCL115150,315,914,0,0,4,6,4,6,51,64,0,0,0,0,0,0,0,0,51,64,26,41,0,0,0,0,0,0,26,41,0,3,395,1025,13,..,409,1025
UCL115151,730,1876,16,19,14,18,27,35,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,12,38,17,38,4,8,777,1968,81,..,856,1968
UCL115152,461,968,9,14,0,0,9,14,10,11,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,3,479,998,66,..,543,998
UCL115153,486,1058,50,64,0,0,43,64,14,20,0,0,0,0,0,0,0,0,14,20,0,4,0,0,0,0,0,4,3,7,6,6,554,1153,152,..,701,1153
UCL115154,498,1260,57,78,0,0,57,78,3,6,0,0,0,0,0,0,0,0,3,6,0,0,6,4,4,0,0,0,5,12,3,16,570,1363,96,..,661,1363
UCL115155,1524,3646,98,164,0,3,100,167,47,66,0,0,0,0,0,0,0,0,47,66,0,4,4,4,4,3,14,32,24,41,4,12,1700,3929,287,..,1987,3929
UCL115156,452,952,33,48,0,0,33,48,22,21,0,0,0,0,0,0,0,0,22,21,5,4,0,0,0,0,3,9,11,11,7,9,518,1039,87,..,603,1039
UCL115157,553,1189,0,0,3,9,8,7,12,14,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,3,11,3,11,6,8,575,1225,53,..,622,1225
UCL115158,960,2219,73,100,0,0,73,100,40,63,0,0,0,0,0,0,0,5,41,68,5,6,7,4,0,0,0,10,9,20,21,39,1098,2440,195,..,1292,2440
UCL115159,594,1733,0,0,3,3,3,3,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,603,1744,21,..,616,1744
UCL115160,859,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,9,861,2854,23,..,889,2854
UCL115161,1662,3995,80,105,12,20,91,126,53,89,0,0,0,0,0,0,0,0,61,87,12,27,0,0,0,0,4,4,15,30,3,7,1832,4243,101,..,1939,4243
UCL115162,929,2548,83,165,0,0,83,165,100,175,0,0,0,0,0,0,5,9,104,184,0,0,0,0,0,0,0,0,0,0,0,0,1118,2902,53,..,1171,2902
UCL115163,597,1733,12,23,0,0,12,23,3,6,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,4,8,618,1779,41,..,661,1779
UCL115164,333,917,99,167,5,6,100,176,0,0,0,0,0,0,0,0,0,3,4,6,0,0,103,157,0,0,0,5,100,157,0,0,542,1260,56,..,603,1260
UCL115165,367,953,10,15,0,0,10,15,29,42,0,0,0,0,0,0,0,0,29,42,0,0,0,0,0,0,0,0,0,0,0,0,403,1009,21,..,422,1009
UCL121001,332,754,8,13,0,3,11,19,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,9,10,11,4,9,354,794,46,..,401,794
UCL121002,209,454,0,6,0,0,0,6,7,7,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,6,5,6,5,5,15,225,478,26,..,247,478
UCL121003,281,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,283,645,354,..,639,645
UCL121004,308,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,310,872,18,..,329,872
UCL121005,164,549,4,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,552,9,..,178,552
UCL121006,233,485,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,5,15,23,3,6,253,521,324,..,575,521
UCL121007,351,748,49,65,0,0,49,65,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,15,6,21,3,3,407,833,80,..,481,833
UCL121008,126,340,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,3,11,3,16,3,7,138,370,27,..,170,370
UCL121009,311,722,10,14,7,9,15,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,4,0,14,331,759,67,..,397,759
UCL121010,205,465,23,53,28,55,53,111,14,26,0,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,3,7,6,5,0,4,273,602,436,..,702,602
UCL121011,335,836,8,14,0,0,8,14,5,9,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,3,4,4,0,0,360,873,40,..,392,873
UCL121012,275,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,273,834,0,..,279,834
UCL121013,222,530,29,46,0,0,29,46,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,0,3,4,3,252,589,68,..,320,589
UCL121014,157,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,58,8,7,0,0,0,0,52,69,3,4,217,475,11,..,227,475
UCL121015,249,622,0,0,0,4,0,4,17,33,3,14,0,0,0,0,4,4,27,54,0,0,5,13,0,0,3,10,10,20,3,3,294,698,39,..,331,698
UCL121016,195,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,515,23,..,214,515
UCL121017,257,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,798,62,..,317,798
UCL121018,312,822,6,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,11,0,0,323,836,27,..,346,836
UCL121019,218,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,679,9,..,227,679
UCL121020,203,538,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,204,545,18,..,228,545
UCL121021,214,441,3,3,0,0,3,3,21,30,0,0,0,0,0,0,0,0,21,30,0,0,0,0,0,0,11,13,7,11,0,0,246,492,46,..,297,492
UCL121022,271,587,15,17,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,283,608,36,..,318,608
UCL121023,283,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,532,132,..,418,532
UCL121024,182,483,7,25,0,0,7,25,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,9,0,4,197,519,7,..,206,519
UCL121025,196,565,3,9,0,0,3,9,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,202,577,9,..,211,577
UCL121026,323,721,39,67,22,28,58,96,36,45,9,19,0,0,0,0,0,0,46,68,6,8,4,5,0,0,0,0,8,15,0,5,433,898,69,..,503,898
UCL121027,159,447,31,75,24,65,55,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,589,7,..,220,589
UCL121028,350,714,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,723,488,..,840,723
UCL121029,221,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,564,19,..,245,564
UCL121030,328,742,3,0,0,0,3,0,11,14,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,3,0,350,766,37,..,389,766
UCL121031,333,814,5,14,31,72,37,82,3,13,0,0,0,0,0,0,0,0,3,13,4,0,0,0,0,0,0,0,8,6,0,0,379,912,100,..,476,912
UCL121032,295,608,12,15,0,0,12,15,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,9,0,0,310,632,43,..,354,632
UCL121033,165,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,435,7,..,177,435
UCL121034,245,726,6,17,8,28,18,45,24,85,5,6,0,0,0,0,6,16,40,107,0,0,0,0,0,0,0,0,0,0,0,9,300,886,116,..,417,886
UCL121035,369,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,1079,24,..,393,1079
UCL121036,425,1318,8,15,0,8,6,23,0,0,0,0,0,0,0,0,10,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,439,1350,19,..,463,1350
UCL121037,305,732,3,12,0,0,3,12,0,4,0,0,0,0,0,0,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0,4,320,753,173,..,493,753
UCL121038,220,490,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,496,23,..,248,496
UCL121039,215,629,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,7,10,0,3,226,653,15,..,243,653
UCL121040,166,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,485,6,..,175,485
UCL121041,239,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,248,554,49,..,290,554
UCL121042,183,415,4,17,14,26,20,47,7,16,0,0,0,0,0,0,0,0,7,16,0,0,14,19,0,0,0,0,14,19,0,0,230,499,244,..,468,499
