POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA2659,223,0,0,4,3,232,79,0,0,0,0,81,8,0,0,0,0,8,308,0,0,4,3,318
POA2660,423,3,7,3,3,433,119,0,6,5,0,130,12,0,0,0,0,16,558,6,4,11,3,584
POA2661,46,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,4,51
POA2663,1069,20,10,4,6,1106,309,21,25,0,0,354,68,0,4,0,0,74,1444,40,36,3,7,1532
POA2665,548,0,4,3,10,564,192,3,4,0,0,205,26,0,0,0,0,33,769,8,7,9,9,802
POA2666,1434,14,51,14,3,1519,509,19,56,6,4,595,55,0,3,0,0,60,2000,38,112,19,5,2180
POA2668,121,0,0,3,3,122,35,0,0,0,0,32,4,0,0,0,0,4,156,0,0,5,3,161
POA2669,413,0,0,4,4,423,170,0,3,0,0,175,22,0,0,0,0,25,608,0,3,5,3,620
POA2671,1003,4,17,4,19,1052,346,3,27,5,0,384,59,0,4,0,7,74,1407,9,53,8,29,1507
POA2672,272,3,13,0,41,325,149,0,15,3,22,184,17,0,7,0,3,21,436,3,27,3,63,535
POA2675,358,0,16,4,0,381,126,0,6,10,3,147,16,0,0,4,0,25,505,0,27,24,4,557
POA2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2680,4975,232,486,34,40,5775,1372,149,259,44,13,1843,200,18,60,7,3,286,6552,401,807,88,56,7905
POA2681,426,5,14,0,3,446,118,0,7,0,0,123,20,0,3,0,0,19,558,5,29,0,4,592
POA2700,1178,26,33,4,10,1255,464,8,25,8,0,502,53,0,3,0,0,66,1690,38,63,16,9,1826
POA2701,575,0,8,0,11,586,165,0,8,0,0,183,20,0,5,0,0,25,760,5,21,0,13,791
POA2702,207,0,0,0,0,203,60,0,0,0,0,64,12,0,0,0,0,12,275,0,0,3,0,281
POA2703,142,4,11,0,3,163,64,9,3,0,0,78,5,0,0,0,0,6,210,19,13,0,3,244
POA2705,2378,102,119,18,19,2642,674,73,70,20,6,835,106,6,8,0,4,131,3161,183,203,35,34,3613
POA2706,280,0,3,3,0,288,116,0,5,3,0,126,6,0,0,0,0,6,408,3,7,5,0,421
POA2707,332,0,8,5,0,347,77,0,17,5,0,106,12,0,3,0,0,19,429,0,28,9,0,468
POA2710,2578,35,122,36,25,2798,817,32,113,25,10,997,117,4,13,3,0,141,3509,70,254,60,39,3929
POA2711,744,8,31,7,9,798,331,11,21,8,3,373,54,0,5,3,0,58,1124,27,51,13,19,1233
POA2712,356,0,10,4,0,372,107,0,11,0,0,122,20,0,0,0,0,19,485,0,24,7,0,519
POA2713,713,28,10,8,0,761,225,19,15,3,4,265,27,4,6,3,3,43,965,52,30,14,9,1062
POA2714,729,10,23,46,0,814,209,17,10,21,0,260,34,0,3,7,0,48,974,23,39,77,0,1116
POA2715,343,3,14,6,3,368,141,6,12,8,0,171,19,4,0,0,0,22,505,13,25,13,5,567
POA2716,273,0,8,4,0,286,94,0,16,0,0,109,9,0,3,0,0,16,372,0,25,8,3,409
POA2717,278,10,0,0,3,288,127,7,0,3,0,135,13,0,0,0,0,20,413,17,4,6,3,444
POA2720,1997,54,57,9,14,2128,672,49,48,0,3,774,57,8,6,0,0,78,2728,106,112,11,18,2977
POA2721,59,0,0,0,0,59,20,0,0,0,0,26,3,0,0,0,0,3,79,0,0,0,0,80
POA2722,769,18,3,16,13,821,299,13,17,6,0,340,45,0,4,0,0,52,1116,33,22,24,14,1205
POA2725,111,0,0,3,0,109,34,0,0,0,0,32,0,0,0,0,0,0,144,0,0,3,0,145
POA2726,53,0,0,0,0,53,28,0,0,3,0,30,0,0,0,0,0,0,79,0,0,3,0,85
POA2727,81,0,0,0,4,86,27,0,0,0,0,27,4,0,0,0,0,4,115,0,0,0,4,116
POA2729,436,3,3,4,0,443,148,0,13,3,0,167,24,0,5,0,0,26,603,3,15,8,3,631
POA2730,361,0,3,3,3,371,156,3,3,0,0,166,21,3,0,3,0,21,535,7,3,8,9,565
POA2731,1638,74,95,39,5,1860,354,41,69,21,3,482,46,8,4,5,0,62,2041,125,174,63,11,2409
POA2732,443,25,12,15,0,491,180,19,18,3,0,221,19,0,3,0,0,24,635,44,37,16,3,736
POA2733,129,0,4,0,6,141,62,0,0,0,0,61,11,0,0,0,3,9,202,0,6,4,10,215
POA2734,118,0,0,0,0,114,9,0,0,0,0,9,5,0,0,0,3,10,129,0,0,0,3,138
POA2735,100,0,0,0,0,99,44,0,0,0,0,44,6,0,0,0,0,6,146,0,0,0,0,147
POA2736,84,0,3,3,0,87,34,0,4,0,0,33,3,0,0,4,0,9,119,0,4,6,0,134
POA2737,174,3,3,0,0,183,64,0,0,4,0,66,7,0,0,0,0,9,243,6,5,7,0,258
POA2738,459,0,8,3,5,474,69,0,12,0,0,76,12,0,0,0,0,15,539,0,16,6,4,563
POA2739,328,3,23,17,0,373,78,6,10,5,0,100,18,0,0,4,0,18,419,12,30,28,0,490
POA2745,7496,450,64,15,31,8064,496,64,42,18,3,614,128,19,3,3,8,159,8116,539,107,32,43,8839
POA2747,9409,1713,675,17,38,11856,1202,386,276,3,11,1879,248,44,33,0,7,333,10854,2141,993,20,56,14068
POA2748,430,8,0,0,3,449,69,0,0,0,0,70,17,0,0,0,0,14,514,9,0,3,3,532
POA2749,4213,394,0,13,17,4632,425,95,3,0,3,526,85,12,0,0,4,97,4717,501,4,9,22,5257
POA2750,10120,1742,1347,65,25,13301,1382,589,461,45,10,2489,255,181,67,17,0,523,11755,2510,1878,124,35,16308
POA2752,1285,6,0,0,3,1301,171,4,0,0,3,175,33,0,0,0,0,34,1491,12,3,3,3,1508
POA2753,3985,421,198,17,44,4663,548,214,95,0,5,868,106,27,11,0,10,152,4643,665,296,15,63,5681
POA2754,1276,302,36,0,6,1618,216,64,18,0,0,297,28,9,4,0,0,48,1520,374,54,0,11,1963
POA2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2756,8380,797,85,51,62,9374,1105,243,23,49,16,1431,205,30,3,5,9,259,9690,1070,103,109,89,11061
POA2757,241,0,4,0,3,248,23,0,0,0,0,21,4,0,0,0,0,4,267,0,6,0,3,278
POA2758,2387,4,14,3,13,2421,199,7,10,0,3,219,53,0,0,0,0,57,2637,14,19,5,22,2695
POA2759,7067,60,0,0,4,7136,617,12,0,0,0,625,181,0,0,0,0,183,7865,70,0,0,4,7946
POA2760,6652,1426,550,16,33,8679,1511,309,247,15,13,2088,247,72,38,0,9,366,8408,1807,838,26,55,11134
POA2761,7135,475,3,7,12,7623,600,65,3,0,0,671,157,16,0,0,10,177,7890,560,3,4,20,8479
POA2762,1074,240,3,22,13,1351,121,17,0,3,0,139,35,4,0,5,0,44,1232,260,3,26,10,1535
POA2763,3256,4764,457,3,42,8523,294,275,20,0,3,590,104,60,6,0,18,187,3651,5101,483,3,63,9302
POA2765,3518,107,16,136,38,3821,579,57,7,81,12,729,112,11,0,19,11,152,4207,172,31,231,60,4705
POA2766,2930,707,29,18,3,3683,397,74,17,4,0,492,99,19,0,0,0,117,3420,800,52,21,7,4297
POA2767,5004,587,36,3,11,5637,687,112,25,0,3,831,169,28,0,0,4,203,5854,723,64,3,20,6665
POA2768,6622,711,4,0,7,7352,352,22,3,0,0,376,124,12,0,0,3,134,7094,746,5,0,15,7860
POA2769,2124,1013,0,0,3,3143,45,26,0,0,0,75,34,17,0,0,3,49,2203,1053,0,0,4,3272
POA2770,10763,1798,1179,32,24,13798,2659,591,487,21,11,3767,523,98,87,0,10,723,13948,2486,1754,59,38,18281
POA2773,1782,48,9,0,0,1842,133,24,0,0,0,157,27,3,0,0,0,32,1934,82,13,0,0,2031
POA2774,3893,136,0,0,3,4030,290,56,0,0,3,345,64,7,0,0,0,73,4249,190,4,0,5,4449
POA2775,402,0,0,22,6,434,97,0,3,13,3,119,12,0,0,4,4,18,515,0,6,35,12,568
POA2776,1290,10,0,0,4,1312,90,6,0,0,0,94,23,0,0,0,0,23,1406,19,0,0,3,1423
POA2777,5088,358,44,9,12,5511,435,162,22,0,3,624,83,18,0,0,0,105,5611,539,67,9,14,6239
POA2778,792,3,0,0,0,797,72,0,0,0,4,75,12,0,0,0,3,18,876,4,3,0,4,891
POA2779,1589,32,7,0,0,1627,153,6,0,0,3,164,26,0,0,0,0,33,1765,42,8,0,3,1819
POA2780,3943,253,266,19,28,4519,567,95,122,3,3,790,106,9,24,0,7,150,4617,368,409,23,38,5460
POA2782,2004,72,11,4,9,2103,230,24,3,0,0,260,43,0,0,0,3,47,2284,103,15,4,15,2410
POA2783,826,10,22,0,3,863,106,0,21,0,0,126,9,0,0,0,0,13,945,10,42,0,3,1002
POA2784,404,9,0,0,0,411,43,5,0,0,0,47,12,0,0,0,0,12,459,12,0,0,0,471
POA2785,1614,23,8,7,7,1666,230,12,12,3,3,257,38,0,0,0,3,41,1879,40,17,9,17,1963
POA2786,404,0,0,0,0,409,64,0,0,0,0,64,12,0,0,0,0,12,479,0,0,0,0,488
POA2787,1073,3,17,6,45,1144,356,4,23,0,14,403,50,0,8,0,0,58,1478,8,41,9,60,1598
POA2790,3919,258,66,28,14,4284,1180,223,55,25,8,1491,153,34,8,0,3,203,5260,509,126,56,25,5977
POA2791,85,3,0,3,0,89,28,0,0,4,0,36,3,0,0,0,0,3,115,7,0,7,0,133
POA2792,112,0,0,0,0,114,35,0,0,0,0,35,10,0,0,0,0,10,152,0,0,0,0,160
POA2793,249,0,0,0,14,267,90,0,0,0,8,100,15,0,0,0,0,14,352,0,0,0,23,382
POA2794,2616,74,99,15,15,2817,855,79,115,8,9,1069,113,12,10,3,0,140,3586,162,229,28,24,4028
POA2795,10318,970,355,33,67,11738,1981,439,213,12,47,2693,287,49,21,0,51,411,12586,1465,590,46,158,14839
POA2797,114,0,0,0,0,118,38,0,0,0,0,38,7,0,0,0,0,7,160,0,0,0,0,158
POA2798,592,0,0,10,3,606,78,0,4,0,0,85,17,0,0,0,0,17,686,0,4,10,3,705
POA2799,1041,9,26,13,0,1087,306,9,22,4,0,337,47,0,3,3,26,85,1392,24,52,18,29,1508
POA2800,11340,889,303,18,58,12609,2367,452,220,16,22,3085,361,62,23,9,55,509,14067,1405,548,40,142,16202
POA2803,88,0,0,0,0,85,22,0,0,0,0,17,0,0,0,0,0,0,110,0,0,0,0,108
POA2804,717,0,10,8,0,737,244,4,19,3,0,271,30,0,3,0,0,32,992,9,28,15,0,1043
POA2805,106,0,0,0,0,110,41,0,0,0,0,41,7,0,0,0,0,4,152,0,0,0,4,161
POA2806,209,0,0,4,0,210,84,3,0,0,0,86,9,0,0,0,0,9,298,3,0,9,0,310
POA2807,38,58,0,0,13,111,11,27,0,0,8,50,3,6,0,0,3,10,54,99,0,0,17,171
POA2808,51,0,0,6,0,52,28,0,0,0,0,28,0,0,0,0,0,3,75,0,0,6,0,83
POA2809,42,9,0,0,3,58,13,3,0,0,0,18,5,0,0,0,0,9,59,10,0,0,3,76
POA2810,875,10,4,6,3,898,297,20,3,3,0,332,44,3,0,0,0,49,1218,41,8,10,4,1273
POA2817,81,0,0,0,0,81,36,0,0,0,0,36,4,0,0,0,0,4,114,0,0,0,0,114
POA2818,229,0,0,0,0,229,57,0,0,0,0,56,4,0,0,0,0,4,291,0,0,0,0,291
POA2820,1352,24,15,167,15,1575,631,52,17,56,3,755,69,0,3,12,0,93,2058,81,39,234,19,2427
POA2821,1144,11,25,0,11,1182,403,13,33,5,11,467,56,0,4,0,0,63,1604,22,61,6,20,1713
POA2822,106,0,0,0,0,108,41,0,0,0,0,41,0,0,0,0,0,3,154,0,0,0,0,155
POA2823,334,5,7,0,3,349,126,0,20,0,0,149,16,0,0,6,3,23,482,11,25,6,8,527
POA2824,490,4,11,0,3,509,247,3,27,6,3,283,30,0,4,0,0,36,771,6,39,4,6,828
POA2825,530,23,20,6,5,582,240,8,6,6,0,258,26,0,0,3,0,37,799,31,28,12,7,876
POA2826,47,0,0,0,4,52,13,0,0,0,3,19,0,0,0,0,0,0,65,0,0,0,5,70
POA2827,861,0,17,3,10,890,429,3,30,0,3,462,31,0,0,0,0,35,1322,4,43,9,8,1389
POA2828,166,3,0,0,3,175,97,3,3,0,3,103,8,0,0,3,4,14,276,5,4,4,5,293
POA2829,619,3,24,7,3,658,327,0,28,3,0,351,48,0,3,0,3,57,993,3,57,10,5,1067
POA2830,9681,624,654,63,46,11065,1951,320,456,27,12,2768,294,27,59,4,4,385,11925,965,1172,95,63,14219
POA2831,475,0,0,0,3,479,141,0,0,3,0,148,18,0,0,0,0,23,635,0,0,6,9,649
POA2832,392,0,21,44,15,469,243,0,18,35,22,310,39,0,0,16,0,52,667,0,41,96,35,834
POA2833,122,0,5,0,0,133,79,0,3,0,0,87,6,0,0,0,0,8,210,0,13,0,0,223
POA2834,479,0,38,43,24,582,280,3,27,42,10,360,51,0,3,5,10,67,803,3,70,91,44,1008
POA2835,977,17,54,20,3,1070,297,5,38,6,0,348,57,0,8,0,0,64,1332,22,99,28,0,1481
POA2836,131,3,3,3,3,146,104,5,4,5,0,119,4,0,0,3,0,13,248,8,3,7,4,279
POA2838,44,0,0,0,0,44,44,0,0,0,0,44,3,0,0,0,0,3,93,0,0,0,0,93
POA2839,231,0,16,0,0,250,138,3,22,0,0,158,30,0,3,3,0,36,394,5,36,4,4,444
POA2840,479,12,16,10,12,533,244,5,14,6,0,268,40,0,3,3,3,47,762,16,34,23,18,850
POA2842,163,0,0,0,0,161,73,0,0,0,3,76,11,0,0,0,0,12,242,0,0,0,3,253
POA2843,311,0,6,4,8,328,102,0,5,0,3,110,9,0,0,0,0,13,422,0,10,9,14,449
POA2844,307,0,7,0,7,324,159,0,4,0,0,161,12,0,0,0,0,9,478,0,12,0,6,499
POA2845,340,9,0,155,4,514,86,8,9,34,3,143,14,0,0,4,0,15,440,22,5,197,3,671
POA2846,63,0,0,3,3,70,31,0,0,0,0,38,0,0,0,0,0,0,102,0,0,4,0,109
POA2847,510,6,0,70,22,610,190,0,0,21,9,218,32,0,0,7,0,33,732,6,0,91,34,870
POA2848,402,0,14,0,6,426,220,7,7,7,9,242,27,0,0,0,0,27,650,11,23,7,12,695
POA2849,438,0,3,0,6,451,137,0,0,0,3,145,15,0,0,0,0,15,592,0,5,5,13,611
POA2850,4506,154,104,44,26,4826,1076,115,79,26,8,1313,146,27,10,19,4,204,5729,293,190,90,41,6341
POA2852,876,15,0,13,11,907,243,23,3,13,3,285,43,3,0,3,4,54,1153,44,3,28,16,1238
POA2864,207,0,0,0,0,209,66,0,0,0,0,67,12,0,0,0,0,12,287,0,0,0,0,287
POA2865,205,0,0,3,0,209,81,0,8,0,0,95,7,0,0,0,0,11,298,0,13,3,0,310
POA2866,760,6,13,13,11,801,210,3,19,8,0,243,27,5,0,0,0,35,996,19,38,20,12,1075
POA2867,159,0,0,0,0,162,56,0,0,0,0,53,7,0,0,0,0,7,216,0,0,0,0,221
POA2868,163,0,0,0,0,163,66,0,0,0,0,69,13,0,0,0,0,13,239,0,0,0,0,240
POA2869,325,3,3,8,6,342,188,3,0,3,0,200,20,0,0,3,0,28,536,5,6,15,3,565
POA2870,2875,80,132,13,23,3129,842,56,133,13,9,1049,120,0,17,0,0,136,3834,138,278,29,36,4314
POA2871,2212,61,62,37,11,2378,775,51,65,20,6,908,96,4,16,6,0,123,3082,115,141,61,15,3412
POA2873,141,0,0,0,0,141,55,0,0,0,0,60,5,0,0,0,0,6,209,0,0,0,3,205
POA2874,103,0,3,0,0,111,40,0,0,0,0,45,11,0,0,0,0,11,157,0,3,0,0,158
POA2875,230,0,3,0,3,234,101,0,4,3,0,107,15,0,0,0,0,13,339,0,10,6,3,354
POA2876,100,0,0,0,3,99,24,0,0,0,0,24,7,0,0,0,0,7,128,0,0,0,3,135
POA2877,828,5,22,11,3,863,453,3,9,4,0,478,48,0,5,3,0,56,1331,8,40,16,3,1394
POA2878,64,0,0,0,7,70,29,0,0,0,0,27,6,0,0,0,0,9,100,0,0,0,3,107
POA2879,123,5,0,0,3,138,77,0,4,0,0,86,10,3,0,0,3,15,212,12,5,3,7,240
POA2880,4910,89,70,13,15,5095,1782,70,98,3,7,1963,259,6,18,4,8,297,6955,164,184,26,27,7358
POA2898,118,0,0,0,0,118,10,0,0,0,0,10,9,0,0,0,0,9,132,0,0,0,0,132
